Adresse,Anbieter,Ausstattung,Badezimmer,Balkon/ Terrasse,Baujahr,Bezugsfrei ab,Einbauküche,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Etage,Gesamtmiete,Heizkosten,Heizungsart,Kaltmiete,Kaution o. Genossenschaftsanteile,Modernisierung/ Sanierung,Nebenkosten,Objektzustand,Personenaufzug,Schlafzimmer,Titel,Url,Wesentliche Energieträger,Wohnfläche ca.,Zimmer,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,,2.0,,,,True,,,,,,2 von 3,2225.0,0.0,,1890.0,3 Nettokaltmieten,,335.0,Erstbezug nach Sanierung,,3.0,Wunderschöne Maisonette Wohnung in klassischer Stadtvilla sucht ruhige Mieter!,https://www.immobilienscout24.de/expose/115505355,,145.0,4,,14195 Berlin,,Dahlem,Zehlendorf,13.03448275862069,StZe,Zehld
"Kastanienallee 86, 12627 Berlin, Hellersdorf (Hellersdorf)",Immonexxt GmbH Am Borsigturm 53 13507 Berlin,,,,1985.0,,,,,Verbrauchsausweis,,,3,817.0,0.0,Fernwärme,639.0,Kaution: 1917.00,,178.0,Modernisiert,True,,Praktische Familienwohnung mit Laminat - in Hellersdorf!,https://www.immobilienscout24.de/expose/114889465,Fernwärme,68.54,3,Kastanienallee,12627 Berlin,86,Hellersdorf,Hellersdorf,9.323023052232273,MaHe,Helld
"Paula-Fürst-Str. 4, 10317 Berlin, Rummelsburg (Lichtenberg)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,,2.0,,2007.0,,True,,liegt vor,Verbrauchsausweis,,,3 von 5,1942.62,91.4,Fernwärme,1581.3,474390,,269.92,Gepflegt,True,2.0,"3-Zimmer-Wohnung mit Balkon, Wannenbad und Gäste-WC",https://www.immobilienscout24.de/expose/114185817,Fernwärme,112.95,3,Paula-Fürst-Straße,10317 Berlin,4,Rummelsburg,Lichtenberg,14.0,Lich,Liber
"Köpenicker Straße 43, 10179 Berlin, Mitte (Mitte)",International Campus GmbH Blumenstraße 28 80331 München,,1.0,,2014.0,,True,,liegt vor,Bedarfsausweis,,,,715.0,0.0,Zentralheizung,538.0,1614,,177.0,Neuwertig,True,1.0,Click.Book.Live: Vollmöbliertes Single-Studio für Studenten,https://www.immobilienscout24.de/expose/115320929,Fernwärme,19.0,1,Köpenicker Straße,10179 Berlin,43,Mitte,Mitte,28.31578947368421,Mitt,Mitte
"Meinekestraße 21, 10719 Berlin, Charlottenburg (Charlottenburg)",Thelen Immobilien Management GmbH Alfredstr. 150 45131 Essen,,1.0,,1992.0,,True,,liegt vor,Bedarfsausweis,,,4 von 8,1710.1,95.68,Fernwärme,1387.36,3 Momatsmieten,,228.79,Gepflegt,True,1.0,**Citywohnung in schöner Lage**,https://www.immobilienscout24.de/expose/110241561,Fernwärme,95.68,2,Meinekestraße,10719 Berlin,21,Charlottenburg,Charlottenburg,14.499999999999998,ChWi,Charl
"Harzerstr. 82, 12059 Berlin, Neukölln (Neukölln)",Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,,,,1956.0,,,,liegt vor,Verbrauchsausweis,,159.0,1,588.0,0.0,Zentralheizung,491.0,3 x Nettokaltmiete,,97.0,Erstbezug nach Sanierung,,,Neukölln - Charmante 1Zimmerwohnung - neu Saniertes - Laminat - ca. 35 m² - 588 warm,https://www.immobilienscout24.de/expose/115612167,Gas,34.42,1,Harzer Straße,12059 Berlin,82,Neukölln,Neukölln,14.264962231260894,Neuk,Neukö
"Grünauer Straße 119B, 12557 Berlin, Köpenick (Köpenick)",WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH Winckelmannstraße 3-5 12487 Berlin,,1.0,,1998.0,,,,liegt vor,Verbrauchsausweis,,,3,1027.15,0.0,Zentralheizung,732.15,2196.45 Euro (Ratenzahlung möglich),,250.0,Saniert,True,,Traumhafte Lage am Ufer der Dahme,https://www.immobilienscout24.de/expose/115609106,Fernwärme,79.05,3,Grünauer Straße,12557 Berlin,119B,Köpenick,Köpenick,9.261859582542694,TrKö,Köpen
"Straße vor Schönholz 26, 13158 Berlin, Niederschönhausen (Pankow)",Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,,,,1900.0,,,,liegt vor,Verbrauchsausweis,,140.0,3,1176.0,0.0,Zentralheizung,950.0,3 x Nettokaltmiete,,226.0,Modernisiert,,,"Pankow! Gemütliche 3,5 Zimmerwohnung an der Schönholzer Heide - Laminat - Balkon - Eckbadewanne",https://www.immobilienscout24.de/expose/75171304,Gas,97.0,"3,5",Straße vor Schönholz,13158 Berlin,26,Niederschönhausen,Pankow,9.793814432989691,Pank,Panko
"Ruppiner Chaussee 297, 13503 Berlin, Heiligensee (Reinickendorf)",Immonexxt GmbH Am Borsigturm 53 13507 Berlin,,,,1994.0,,True,,,Verbrauchsausweis,,,0,1299.0,0.0,Zentralheizung,889.0,Kaution: 2667.00,,410.0,Vollständig renoviert,,,Maisonette- Wohnung mit 56 qm Wohnraum und 35 qm Hobbyraum,https://www.immobilienscout24.de/expose/115376573,Gas,91.0,"3,5",Ruppiner Chaussee,13503 Berlin,297,Heiligensee,Reinickendorf,9.76923076923077,Rein,Reind
"Müggelbergallee 5, 12557 Berlin, Köpenick (Köpenick)",Panita GmbH Möllhausenufer 16 12557 Berlin,,,,1995.0,,True,,liegt vor,Verbrauchsausweis,,102.0,1 von 2,1239.28,115.0,Zentralheizung,955.28,3 Nettokaltmieten,,169.0,Vollständig renoviert,,,"große, helle Wohneinheit in Stadtvilla in Wald und Wassernähe",https://www.immobilienscout24.de/expose/43752088,,116.7,4,Müggelbergallee,12557 Berlin,5,Köpenick,Köpenick,8.185775492716367,TrKö,Köpen
"Friedrich-Wilhelm-Str. 29, 12103 Berlin, Tempelhof (Tempelhof)",immOperation Biliza & Streller GbR Hausburgstr. 6 10249 Berlin,,1.0,,1973.0,,True,,liegt zur Besichtigung vor,,,,1 von 4,1450.0,0.0,Zentralheizung,1450.0,2 Monatsmieten,2020.0,0.0,Vollständig renoviert,True,1.0,Vollmöbliert - Tolle 55 qm Wohnung mit Balkon im Herzen von Tempelhof,https://www.immobilienscout24.de/expose/115513626,Gas,55.0,2,Friedrich-Wilhelm-Straße,12103 Berlin,29,Tempelhof,Tempelhof,26.363636363636363,TSch,Temp
"Lietzenburger Str. 101, 10707 Berlin, Wilmersdorf (Wilmersdorf)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,,1.0,,2012.0,,True,,liegt vor,Bedarfsausweis,,,6,3183.64,98.21,Fernwärme,2555.43,766629,,530.0,Neuwertig,True,1.0,Luxus Wohnung in Top-Lage am Ku-Damm!,https://www.immobilienscout24.de/expose/114849096,,115.84,"2,5",Lietzenburger Straße,10707 Berlin,101,Wilmersdorf,Wilmersdorf,22.059996546961322,ChWi,Wilmd
"Metropolitan Park 52, 13591 Berlin, Staaken (Spandau)",Forum Immobilien Lindenstr. 5 16548 Glienicke,,2.0,,1935.0,,True,,laut Gesetz nicht erforderlich,,,,1 von 3,1270.0,0.0,,990.0,766629,2019.0,280.0,Erstbezug nach Sanierung,,2.0,"Neu! Erstbezug in Berlin-Staaken! Tolle Wohnungen mit hochw.Ausstattung in Grünlage! 2x Bad,Terrasse",https://www.immobilienscout24.de/expose/115436445,,95.0,3,Metropolitan Park,13591 Berlin,52,Staaken,Spandau,10.421052631578947,Span,Spand
"Seydelstr. 21, 10117 Berlin, Mitte (Mitte)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,,2.0,,2009.0,,True,,liegt vor,Verbrauchsausweis,,,3 von 6,2297.64,83.3,Fußbodenheizung,2001.02,600306,,213.32,Gepflegt,True,2.0,Beeindruckende 3-Zimmer-Wohnung mit 2 Bädern,https://www.immobilienscout24.de/expose/115374427,Fernwärme,132.87,3,Seydelstraße,10117 Berlin,21,Mitte,Mitte,15.059983442462556,Mitt,Mitte
"Janusz-Korczak-Str. 15, 12627 Berlin, Hellersdorf (Hellersdorf)",Immonexxt GmbH Am Borsigturm 53 13507 Berlin,,,,1999.0,,,,,Verbrauchsausweis,,,1,1142.0,0.0,Fernwärme,899.0,Kaution: 2697.00,,243.0,Modernisiert,,,Familienwohnung mit Flair sucht Nachfolger mit Style!,https://www.immobilienscout24.de/expose/113873973,Fernwärme,88.68,4,Janusz-Korczak-Straße,12627 Berlin,15,Hellersdorf,Hellersdorf,10.137573297248533,MaHe,Helld
"Galenusstr. 63 B, 13187 Berlin, Pankow (Pankow)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,,1.0,,2009.0,,True,,liegt vor,Verbrauchsausweis,,,1 von 5,1775.29,61.92,Zentralheizung,1516.62,454986,,196.75,Gepflegt,True,2.0,Lichtdurchflutete 3 Zimmerwohnung mit Südbalkon,https://www.immobilienscout24.de/expose/115374428,Erdgas schwer,108.33,3,Galenusstraße,13187 Berlin,63B,Pankow,Pankow,14.0,Pank,Panko
"Stendaler Str. 65, 12627 Berlin, Hellersdorf (Hellersdorf)",Immonexxt GmbH Am Borsigturm 53 13507 Berlin,,,,1985.0,,,,,Verbrauchsausweis,,,1,709.0,0.0,Zentralheizung,569.0,Kaution: 1707.00,,140.0,Modernisiert,True,,Helle Wohnung mit Laminat und Aufzug!,https://www.immobilienscout24.de/expose/115245134,Fernwärme,53.98,2,Stendaler Straße,12627 Berlin,65,Hellersdorf,Hellersdorf,10.540941089292332,MaHe,Helld
"Janusz-Korczak-Str. 9a, 12627 Berlin, Hellersdorf (Hellersdorf)",Immonexxt GmbH Am Borsigturm 53 13507 Berlin,,,,1999.0,,True,,,Verbrauchsausweis,,,2,710.0,0.0,Fernwärme,499.0,Kaution: 1497.00,,211.0,Modernisiert,True,,"*NUR MIT WBS*Große, barrierefreie Pärchenwohnung mit EBK und Dusche!",https://www.immobilienscout24.de/expose/115282292,Fernwärme,72.78,2,Janusz-Korczak-Straße,12627 Berlin,9A,Hellersdorf,Hellersdorf,6.856279197581753,MaHe,Helld
"Friedrich-Karl-Straße 20 A, 12103 Berlin, Tempelhof (Tempelhof)",Artur Caesar Behrendt Immobilien Hohenzollerndamm 169 10713 Berlin,,1.0,,,,,,liegt zur Besichtigung vor,,,,,1301.0,90.0,,1066.0,Kaution: 1497.00,2020.0,145.0,Erstbezug nach Sanierung,,1.0,Dachgeschosswohnung mit Loft Charm in Tempelhof *Erstbezug nach Sanierung*,https://www.immobilienscout24.de/expose/115289452,,82.0,2,Friedrich-Karl-Straße,12103 Berlin,20A,Tempelhof,Tempelhof,13.0,TSch,Temp
"Potsdamer Straße 4, 10785 Berlin, Tiergarten (Tiergarten)",Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,,2.0,,2000.0,,True,,liegt vor,Verbrauchsausweis,,,12 von 12,2410.0,0.0,Fußbodenheizung,1850.0,5550.00,,560.0,Neuwertig,True,2.0,Hochwertiges City-Apartment mit Blick über Berlin!,https://www.immobilienscout24.de/expose/115506498,Fernwärme,91.0,"3,5",Potsdamer Straße,10785 Berlin,4,Tiergarten,Tiergarten,20.32967032967033,Mitt,Tierg
"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,,,,2019.0,,,,,Bedarfsausweis,,,4 von 4,1626.64,0.0,Fernwärme,1436.04,5550.00,,190.6,Erstbezug,True,,FÜNF MORGEN: Traumwohnung: Großzügige 2-Zimmer-Loftwohnung mit sonniger Dachterrasse,https://www.immobilienscout24.de/expose/109788587,Gas,76.24,2,,14195 Berlin,,Dahlem,Zehlendorf,18.835781741867788,StZe,Zehld
"10551 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,,1.0,,2014.0,,True,,liegt vor,Bedarfsausweis,,,,2100.0,0.0,Fußbodenheizung,1660.0,4980.00,2018.0,440.0,Neuwertig,True,1.0,Luxuriös möbliertes Penthouse mit Weitblick!,https://www.immobilienscout24.de/expose/115583569,Fernwärme,75.0,2,,10551 Berlin,,Tiergarten,Tiergarten,22.133333333333333,Mitt,Tierg
"Ansbacher Straße 76, 10777 Berlin, Schöneberg (Schöneberg)",Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,,1.0,,1910.0,,True,,liegt vor,Verbrauchsausweis,,,5 von 5,1950.0,0.0,Zentralheizung,1700.0,4980.00,2012.0,250.0,,,2.0,Möbliert Wohnen nahe Viktoria-Luise-Platz!,https://www.immobilienscout24.de/expose/115530553,Fernwärme,91.0,3,Ansbacher Straße,10777 Berlin,76,Schöneberg,Schöneberg,18.681318681318682,TSch,Schön
"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,,1.0,,1890.0,,True,,liegt vor,Verbrauchsausweis,,,5 von 5,1250.0,,Fußbodenheizung,1180.0,3540.00,,70.0,Neuwertig,,,Stilvolle Single-Wohnung über den Dächern Berlins!,https://www.immobilienscout24.de/expose/115563037,Gas,62.0,1,,10317 Berlin,,Lichtenberg,Lichtenberg,19.032258064516128,Lich,Liber
"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,,,,2019.0,,,,,Bedarfsausweis,,,3 von 3,1781.48,0.0,Fernwärme,1573.9,3540.00,,207.58,Erstbezug,True,,FÜNF MORGEN: Weitläufige Dachgeschosswohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/110018279,Gas,83.03,2,,14195 Berlin,,Dahlem,Zehlendorf,18.955799108755873,StZe,Zehld
"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,,,,2019.0,,,,,Bedarfsausweis,,,2 von 4,1165.02,0.0,Fernwärme,1006.75,3540.00,,158.28,Erstbezug,True,,"FÜNF MORGEN: Sonnige Studio-Wohnung mit 1,5-Zimmern und Loggia",https://www.immobilienscout24.de/expose/112097510,Gas,63.31,"1,5",,14195 Berlin,,Dahlem,Zehlendorf,15.901911230453324,StZe,Zehld
"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,,,,2019.0,,,,,Bedarfsausweis,,,2 von 4,1198.23,0.0,Fernwärme,1043.31,3540.00,,154.93,Erstbezug,True,,FÜNF MORGEN: Moderne 2-Zimmer-Loftwohnung mit Loggia im Neubau,https://www.immobilienscout24.de/expose/112097631,Gas,61.97,2,,14195 Berlin,,Dahlem,Zehlendorf,16.83572696466032,StZe,Zehld
"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,,,,2019.0,,,,,Bedarfsausweis,,,2 von 4,1226.89,0.0,Fernwärme,1068.62,3540.00,,158.28,Erstbezug,True,,"FÜNF MORGEN: Großzügige 1,5-Zimmer-Loftwohnung mit Loggia in Bestlage",https://www.immobilienscout24.de/expose/112097595,Gas,63.31,"1,5",,14195 Berlin,,Dahlem,Zehlendorf,16.879166008529456,StZe,Zehld
