Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adreese
"Hochwertiges DG im gepflegten Altbau! **Besichtigung: Mi., 29.01. / 18:30 Uhr**",https://www.immobilienscout24.de/expose/115172918,1.785 €,320 €,in Nebenkosten enthalten,2.105 €,"5.355,00 EUR",5 von 5,119 m²,4,2,1,True,True,1905,zuletzt 2011,Vollständig renoviert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,SchönLife Immobilien Wielandstraße 12 10629 Berlin,"Cauerstrasse 25, 10587 Berlin, Charlottenburg (Charlottenburg)"
4 Zimmer am Alex,https://www.immobilienscout24.de/expose/97546389,"1.726,08 €",300 €,in Nebenkosten enthalten,"2.156,08 €","5.178,24 EUR",2 von 7,"119,04 m²",4,3,2,True,True,2017,,Neuwertig,Fernwärme,,liegt vor,Bedarfsausweis,,B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde,"Berolinastr. 7c, 10178 Berlin, Mitte (Mitte)"
2 zi-whg in der böckhstrasse im sfl 1.OG nähe planufer u. admiralsbrücke,https://www.immobilienscout24.de/expose/115638816,1.050 €,170 €,in Nebenkosten enthalten,1.220 €,"3.150,00 EUR",1 von 4,"60,42 m²",2,1,1,,True,1910,,Gepflegt,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,"125,3 kWh/(m²*a)",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
sehr schöne 3 zi.-whg mit 2 terrassen EBK 2 bäder aufzug u. TG,https://www.immobilienscout24.de/expose/115637279,1.760 €,"311,90 €",in Nebenkosten enthalten,"2.071,90 €","6.215,70 EUR",2 von 5,"107,33 m²",3,2,2,True,True,2016,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
4 zi-whg mit garten-terrasse EBK aufzug TG concierge gg berliner dom,https://www.immobilienscout24.de/expose/115633259,"2.194,94 €","637,60 €",in Nebenkosten enthalten,"2.832,54 €","6.584,82 EUR",1 von 8,"159,4 m²",4,2,1,True,True,2004,zuletzt 2018,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
1 zi-whg gipsstrasse ecke rosenththaler mit aufzug und EBK,https://www.immobilienscout24.de/expose/115530045,1.375 €,200 €,in Nebenkosten enthalten,1.575 €,"4.125,00 EUR",4 von 7,55 m²,1,1,1,True,True,1997,,Neuwertig,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Waterside Living Berlin - Unvergleichbare 4 Zimmerwohnung an der Spree,https://www.immobilienscout24.de/expose/114508954,2.650 €,350 €,keine Angabe,3.000 € (zzgl. Heizkosten),,2,131 m²,4,,,True,True,2019,,Erstbezug,,,,,,PRIMUS Immobilien AG | Vermietungsservice,"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
400€ Monatasmiete! Alle Kosten außer Strom!,https://www.immobilienscout24.de/expose/67077633,400 €,60 €,inkl. 40 €,500 €,975,1 von 4,23 m²,1,,,True,,2012,zuletzt 2017,Vollständig renoviert,Zentralheizung,Fernwärme-Dampf,liegt vor,Verbrauchsausweis,,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Im neuen Jahr in die neue Wohnung,https://www.immobilienscout24.de/expose/114977577,470 €,120 €,in Nebenkosten enthalten,590 €,2000,2 von 5,31 m²,1,1,1,True,True,2019,,Erstbezug,Fernwärme,,liegt zur Besichtigung vor,,,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"Groß-Berliner Damm 1, 12487 Berlin, Johannisthal (Treptow)"
Sofort bezugsfertig: Tolle 2-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/109894326,"799,32 €","194,03 €",in Nebenkosten enthalten,"993,35 €","2.397,96 EUR",2 von 4,"66,61 m²",2,1,1,,,,,Erstbezug,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)"
Wunderschöne Maisonette Wohnung in klassischer Stadtvilla sucht ruhige Mieter!,https://www.immobilienscout24.de/expose/115505355,1.890 €,335 €,in Nebenkosten enthalten,2.225 €,3 Nettokaltmieten,2 von 3,145 m²,4,3,2,,True,unbekannt,,Erstbezug nach Sanierung,,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Praktische Familienwohnung mit Laminat - in Hellersdorf!,https://www.immobilienscout24.de/expose/114889465,639 €,178 €,inkl. 85 €,817 €,"Kaution: 1.917,00 EUR",3,"68,54 m²",3,,,True,,1985,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Kastanienallee 86, 12627 Berlin, Hellersdorf (Hellersdorf)"
"3-Zimmer-Wohnung mit Balkon, Wannenbad und Gäste-WC",https://www.immobilienscout24.de/expose/114185817,"1.581,30 €","269,92 €","91,40 €","1.942,62 €",4743.90,3 von 5,"112,95 m²",3,2,2,True,True,2007,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Paula-Fürst-Str. 4, 10317 Berlin, Rummelsburg (Lichtenberg)"
Click.Book.Live: Vollmöbliertes Single-Studio für Studenten,https://www.immobilienscout24.de/expose/115320929,538 €,177 €,in Nebenkosten enthalten,715 €,1.614,,19 m²,1,1,1,True,True,2014,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,International Campus GmbH Blumenstraße 28 80331 München,"Köpenicker Straße 43, 10179 Berlin, Mitte (Mitte)"
**Citywohnung in schöner Lage**,https://www.immobilienscout24.de/expose/110241561,"1.387,36 €","228,79 €","95,68 €","1.710,10 €",3 Momatsmieten,4 von 8,"95,68 m²",2,1,1,True,True,1992,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,Thelen Immobilien Management GmbH Alfredstr. 150 45131 Essen,"Meinekestraße 21, 10719 Berlin, Charlottenburg (Charlottenburg)"
Neukölln - Charmante 1Zimmerwohnung - neu Saniertes - Laminat - ca. 35 m² - 588 warm,https://www.immobilienscout24.de/expose/115612167,491 €,97 €,inkl. 26 €,588 €,3 x Nettokaltmiete,1,"34,42 m²",1,,,,,1956,,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,159 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Harzerstr. 82, 12059 Berlin, Neukölln (Neukölln)"
Traumhafte Lage am Ufer der Dahme,https://www.immobilienscout24.de/expose/115609106,"732,15 €",250 €,in Nebenkosten enthalten,"1.027,15 €","2.196,45 Euro (Ratenzahlung möglich)",3,"79,05 m²",3,,1,True,,1998,,Saniert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH Winckelmannstraße 3-5 12487 Berlin,"Grünauer Straße 119B, 12557 Berlin, Köpenick (Köpenick)"
"Pankow! Gemütliche 3,5 Zimmerwohnung an der Schönholzer Heide - Laminat - Balkon - Eckbadewanne",https://www.immobilienscout24.de/expose/75171304,950 €,226 €,inkl. 105 €,1.176 €,3 x Nettokaltmiete,3,97 m²,"3,5",,,,,1900,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,140 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Straße vor Schönholz 26, 13158 Berlin, Niederschönhausen (Pankow)"
Maisonette- Wohnung mit 56 qm Wohnraum und 35 qm Hobbyraum,https://www.immobilienscout24.de/expose/115376573,889 €,410 €,inkl. 250 €,1.299 €,"Kaution: 2.667,00",0,91 m²,"3,5",,,,True,1994,,Vollständig renoviert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Ruppiner Chaussee 297, 13503 Berlin, Heiligensee (Reinickendorf)"
"große, helle Wohneinheit in Stadtvilla in Wald und Wassernähe",https://www.immobilienscout24.de/expose/43752088,"955,28 €",169 €,115 €,"1.239,28 €",3 Nettokaltmieten,1 von 2,"116,7 m²",4,,,,True,1995,,Vollständig renoviert,Zentralheizung,,liegt vor,Verbrauchsausweis,102 kWh/(m²*a),Panita GmbH Möllhausenufer 16 12557 Berlin,"Müggelbergallee 5, 12557 Berlin, Köpenick (Köpenick)"
Vollmöbliert - Tolle 55 qm Wohnung mit Balkon im Herzen von Tempelhof,https://www.immobilienscout24.de/expose/115513626,1.450 €,0 €,inkl. 0 €,1.450 €,2 Monatsmieten,1 von 4,55 m²,2,1,1,True,True,1973,zuletzt 2020,Vollständig renoviert,Zentralheizung,Gas,liegt zur Besichtigung vor,,,immOperation Biliza & Streller GbR Hausburgstr. 6 10249 Berlin,"Friedrich-Wilhelm-Str. 29, 12103 Berlin, Tempelhof (Tempelhof)"
Luxus Wohnung in Top-Lage am Ku-Damm!,https://www.immobilienscout24.de/expose/114849096,"2.555,43 €",530 €,"98,21 €","3.183,64 €",7666.29,6,"115,84 m²","2,5",1,1,True,True,2012,,Neuwertig,Fernwärme,,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Lietzenburger Str. 101, 10707 Berlin, Wilmersdorf (Wilmersdorf)"
"Neu! Erstbezug in Berlin-Staaken! Tolle Wohnungen mit hochw.Ausstattung in Grünlage! 2x Bad,Terrasse",https://www.immobilienscout24.de/expose/115436445,990 €,280 €,in Nebenkosten enthalten,1.270 €,,1 von 3,95 m²,3,2,2,,True,1935,zuletzt 2019,Erstbezug nach Sanierung,,,laut Gesetz nicht erforderlich,,,Forum Immobilien Lindenstr. 5 16548 Glienicke,"Metropolitan Park 52, 13591 Berlin, Staaken (Spandau)"
Beeindruckende 3-Zimmer-Wohnung mit 2 Bädern,https://www.immobilienscout24.de/expose/115374427,"2.001,02 €","213,32 €","83,30 €","2.297,64 €",6003.06,3 von 6,"132,87 m²",3,2,2,True,True,2009,,Gepflegt,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Seydelstr. 21, 10117 Berlin, Mitte (Mitte)"
Familienwohnung mit Flair sucht Nachfolger mit Style!,https://www.immobilienscout24.de/expose/113873973,899 €,243 €,inkl. 133 €,1.142 €,"Kaution: 2.697,00 EUR",1,"88,68 m²",4,,,,,1999,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Janusz-Korczak-Str. 15, 12627 Berlin, Hellersdorf (Hellersdorf)"
Lichtdurchflutete 3 Zimmerwohnung mit Südbalkon,https://www.immobilienscout24.de/expose/115374428,"1.516,62 €","196,75 €","61,92 €","1.775,29 €",4549.86,1 von 5,"108,33 m²",3,2,1,True,True,2009,,Gepflegt,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Galenusstr. 63 B, 13187 Berlin, Pankow (Pankow)"
Helle Wohnung mit Laminat und Aufzug!,https://www.immobilienscout24.de/expose/115245134,569 €,140 €,inkl. 67 €,709 €,"Kaution: 1.707,00 EUR",1,"53,98 m²",2,,,True,,1985,,Modernisiert,Zentralheizung,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Stendaler Str. 65, 12627 Berlin, Hellersdorf (Hellersdorf)"
"*NUR MIT WBS*Große, barrierefreie Pärchenwohnung mit EBK und Dusche!",https://www.immobilienscout24.de/expose/115282292,499 €,211 €,inkl. 109 €,710 €,"Kaution: 1.497,00 EUR",2,"72,78 m²",2,,,True,True,1999,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Janusz-Korczak-Str. 9a, 12627 Berlin, Hellersdorf (Hellersdorf)"
Dachgeschosswohnung mit Loft Charm in Tempelhof *Erstbezug nach Sanierung*,https://www.immobilienscout24.de/expose/115289452,1.066 €,145 €,90 €,1.301 €,,,82 m²,2,1,1,,,,zuletzt 2020,Erstbezug nach Sanierung,,,liegt zur Besichtigung vor,,,Artur Caesar Behrendt Immobilien Hohenzollerndamm 169 10713 Berlin,"Friedrich-Karl-Straße 20 A, 12103 Berlin, Tempelhof (Tempelhof)"
Hochwertiges City-Apartment mit Blick über Berlin!,https://www.immobilienscout24.de/expose/115506498,1.850 €,560 €,in Nebenkosten enthalten,2.410 €,"5.550,00 EUR",12 von 12,91 m²,"3,5",2,2,True,True,2000,,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Potsdamer Straße 4, 10785 Berlin, Tiergarten (Tiergarten)"
FÜNF MORGEN: Traumwohnung: Großzügige 2-Zimmer-Loftwohnung mit sonniger Dachterrasse,https://www.immobilienscout24.de/expose/109788587,"1.436,04 €","190,60 €",in Nebenkosten enthalten,"1.626,64 €",,4 von 4,"76,24 m²",2,,,True,,2019,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Luxuriös möbliertes Penthouse mit Weitblick!,https://www.immobilienscout24.de/expose/115583569,1.660 €,440 €,in Nebenkosten enthalten,2.100 €,"4.980,00 EUR",,75 m²,2,1,1,True,True,2014,zuletzt 2018,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"10551 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Möbliert Wohnen nahe Viktoria-Luise-Platz!,https://www.immobilienscout24.de/expose/115530553,1.700 €,250 €,in Nebenkosten enthalten,1.950 €,,5 von 5,91 m²,3,2,1,,True,1910,zuletzt 2012,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Ansbacher Straße 76, 10777 Berlin, Schöneberg (Schöneberg)"
Stilvolle Single-Wohnung über den Dächern Berlins!,https://www.immobilienscout24.de/expose/115563037,1.180 €,70 €,nicht in Nebenkosten enthalten,1.250 € (zzgl. Heizkosten),"3.540,00 EUR",5 von 5,62 m²,1,,1,,True,1890,,Neuwertig,Fußbodenheizung,Gas,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
FÜNF MORGEN: Weitläufige Dachgeschosswohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/110018279,"1.573,90 €","207,58 €",in Nebenkosten enthalten,"1.781,48 €",,3 von 3,"83,03 m²",2,,,True,,2019,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"FÜNF MORGEN: Sonnige Studio-Wohnung mit 1,5-Zimmern und Loggia",https://www.immobilienscout24.de/expose/112097510,"1.006,75 €","158,28 €",in Nebenkosten enthalten,"1.165,02 €",,2 von 4,"63,31 m²","1,5",,,True,,2019,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
FÜNF MORGEN: Moderne 2-Zimmer-Loftwohnung mit Loggia im Neubau,https://www.immobilienscout24.de/expose/112097631,"1.043,31 €","154,93 €",in Nebenkosten enthalten,"1.198,23 €",,2 von 4,"61,97 m²",2,,,True,,2019,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"FÜNF MORGEN: Großzügige 1,5-Zimmer-Loftwohnung mit Loggia in Bestlage",https://www.immobilienscout24.de/expose/112097595,"1.068,62 €","158,28 €",in Nebenkosten enthalten,"1.226,89 €",,2 von 4,"63,31 m²","1,5",,,True,,2019,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
schöne remise höhe kastanienallee mit 2 terrassen 1 großer kamin u. EBK,https://www.immobilienscout24.de/expose/115337124,2.498 €,"434,17 €",in Nebenkosten enthalten,"2.932,17 €","7.494,00 EUR",,"135,68 m²",2,1,1,,True,1918,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Gas,,Verbrauchsausweis,"120,8 kWh/(m²*a)",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
*Schöne Maisonette im Grünen*,https://www.immobilienscout24.de/expose/114178861,"3.101,55 €","454,89 €","182,57 €","3.739,01 €",3 Momatsmieten,2 von 3,"206,77 m²",3,2,2,,True,1991,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,Thelen Immobilien Management GmbH Alfredstr. 150 45131 Essen,"Koenigsallee 19a, 14193 Berlin, Grunewald (Wilmersdorf)"
Willkommen im Haus Ottilie-von-Hansemann - Charlottenburg l Großzügige 4-Zimmer Wohnung,https://www.immobilienscout24.de/expose/114923777,2.880 €,250 €,250 €,3.380 €,8640 EUR,5,180 m²,4,1,,True,True,1915,,Neuwertig,,Fernwärme,liegt vor,Bedarfsausweis,,Inseriert auf ohne-makler.net,"Otto-Suhr-Alle 18, 10585 Berlin, Charlottenburg (Charlottenburg)"
*großzügiges DG Loft mit Terrasse nahe Hackescher Markt*,https://www.immobilienscout24.de/expose/115219703,2.000 €,270 €,125 €,2.395 €,6000,5 von 5,138 m²,1,,1,True,True,1918,zuletzt 2019,Erstbezug nach Sanierung,,Gas,,Verbrauchsausweis,,core ImmobilienManagement GmbH Markgrafenstr. 22 10117 Berlin,"Alte Schönhauser Straße 38, 10119 Berlin, Mitte (Mitte)"
lebensräume als kunstwerk : aussergewöhnliche maisonette-whg mit garten,https://www.immobilienscout24.de/expose/115436676,4.950 €,580 €,keine Angabe,5.530 € (zzgl. Heizkosten),"14.850,00 EUR",,201 m²,4,2,2,,True,2016,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10179 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
*Moderner Neubau am Gutspark*Schwellenlose Terrassenwohnung*,https://www.immobilienscout24.de/expose/115579201,1.495 €,155 €,130 €,1.780 €,4485,0 von 2,123 m²,4,,1,,True,2014,,Neuwertig,,Gas,,Bedarfsausweis,,core ImmobilienManagement GmbH Markgrafenstr. 22 10117 Berlin,"Am Gutspark 4, 10365 Berlin, Lichtenberg (Lichtenberg)"
Westend: exklusives Wohnen im Wasserturm mit Rundum-Blick über Berlin,https://www.immobilienscout24.de/expose/115420017,2.800 €,450 €,300 €,3.550 €,8400 EUR,4 von 7,210 m²,4,3,2,True,True,1881,,Neuwertig,,Fernwärme,laut Gesetz nicht erforderlich,,,Inseriert auf ohne-makler.net,"Akazienalle 35-39, 14050 Berlin, Charlottenburg (Charlottenburg)"
3 Zimmer-Wohnung in unmittelbarer City-Nähe!,https://www.immobilienscout24.de/expose/115452012,1.598 €,138 €,inkl. 71 €,1.807 €,"4794,00",0 von 3,110 m²,3,2,1,,,2013,,Neuwertig,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,Bayerische Versorgungskammer Mieterservice Arabellastr. 31 81925 München,"Liesenstr. 5b, 10115 Berlin, Mitte (Mitte)"
"Exklusive 5 Zimmer Maisonette-Wohnung mit gehobener Ausstattung, EBK, 2 Außenstellplätze",https://www.immobilienscout24.de/expose/115420878,2.450 €,580 €,in Nebenkosten enthalten,3.030 €,3 NKM,1 von 2,"193,5 m²",5,4,2,,True,1918,zuletzt 2015,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Brenta Real GmbH & Co. KG Wiltbergstraße 90 13125 Berlin,"Wiltbergstraße 90, 13125 Berlin, Buch (Pankow)"
