Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Schlafzimmer,Badezimmer,Balkon/ Terrasse,Baujahr,Objektzustand,Ausstattung,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Endenergiebedarf,Energieeffizienzklasse,Anbieter,Adreese
** BES. SA. 15.02.20 UM 9.30 Uhr ** Ruhige 2 Zi.- Wohnung in Britz,https://www.immobilienscout24.de/expose/115810249,575 €,119 €,58 €,752 €,"1725,00",2,"66,63 m²",sofort,2,,1,True,1978,Vollständig renoviert,,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,D,GFG Hausverwaltungsgesellschaft mbH Kaubstraße 7a 10713 Berlin,"Andreasberger Straße 10, 12347 Berlin, Britz (Neukölln)"
"BESICHTIGUNG am Sonntag, 16.02. um 16:30 Uhr! 1 Zimmer ALTBAUWOHNUNG! EBK!",https://www.immobilienscout24.de/expose/115811971,456 €,122 €,in Nebenkosten enthalten,578 €,1368,4 von 5,"46,85 m²",ab sofort,1,1,1,,1905,Modernisiert,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,B,Harry Gerlach Wohnungsunternehmen GmbH Berliner Str. 120 10713 Berlin,"Lüderitzstraße 7, 13351 Berlin, Wedding (Wedding)"
5 zi-whg an der museumsinsel 2 balkone aufzug concierge TG EBK (3.1),https://www.immobilienscout24.de/expose/115674197,"3.495,74 €",845 €,keine Angabe,"4.340,74 € (zzgl. Heizkosten)","10.487,22 EUR",3 von 8,"190,4 m²",sofort,5,3,2,True,2004,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,"67,9 kWh/(m²*a)",B,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
2 zi-whg gg der museumsinsel balkon concierge EBK aufzug u. TG (6.8),https://www.immobilienscout24.de/expose/115674203,1.287 €,265 €,in Nebenkosten enthalten,1.552 €,"3.861,00 EUR",6 von 8,"58,5 m²",sofort,2,1,1,True,2004,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,"67,9 kWh/(m²*a)",B,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
4 zi-whg penthouse am pergamonmuseum mit 2 terrassen EBK Aufzug u. TG,https://www.immobilienscout24.de/expose/115672917,"2.602,32 €","628,15 €",in Nebenkosten enthalten,"3.230,47 €","7.806,96 EUR",5 von 5,"179,47 m²",01.05.2020,4,2,2,True,2011,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,108 kWh/(m²*a),D,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10117 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
lage! lage! lage! repräsentative 4 zi-whg vis-à-vis der museumsinsel (2.3),https://www.immobilienscout24.de/expose/115674200,"3.216,57 €",780 €,in Nebenkosten enthalten,"3.996,57 €","9.649,71 EUR",2 von 8,"185,5 m²",sofort,4,2,1,True,2004,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,B,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"BESICHTIGUNG am Sonntag, 16.02. um 15:00 Uhr! 3 Zimmer ALTBAUWOHNUNG! EBK! 3er WG-geeignet!",https://www.immobilienscout24.de/expose/115811638,902 €,213 €,in Nebenkosten enthalten,1.115 €,"2706,00",,"82,03 m²",ab sofort,3,3,1,,1905,Modernisiert,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,B,Harry Gerlach Wohnungsunternehmen GmbH Berliner Str. 120 10713 Berlin,"Lüderitzstraße 7, 13351 Berlin, Wedding (Wedding)"
"Besichtigung am Sonntag, den 16.02. um 13:30 Uhr! 3 Zimmer Wohnung im Dachgeschoss! EBK und Balkon!",https://www.immobilienscout24.de/expose/115757424,720 €,197 €,in Nebenkosten enthalten,917 €,"2.160,00",5 von 5,77 m²,ab sofort,3,,1,True,1960,Modernisiert,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,C,Harry Gerlach Wohnungsunternehmen GmbH Berliner Str. 120 10713 Berlin,"Päwesiner Weg 10d, 13581 Berlin, Spandau (Spandau)"
Sanierte großzügige 3-Zimmer Altbau-Komfortwohnung in der Sophienstraße,https://www.immobilienscout24.de/expose/115813369,"1.843,16 €","200,13 €",in Nebenkosten enthalten,"2.043,29 €",,1,"83,78 m²",April,3,1,1,True,1879,Erstbezug nach Sanierung,Luxus,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,151 kWh/(m²*a),,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Sophienstraße 8, 10178 Berlin, Mitte (Mitte)"
1 zi-whg gipsstrasse ecke rosenththaler mit aufzug und EBK,https://www.immobilienscout24.de/expose/115530045,1.375 €,200 €,in Nebenkosten enthalten,1.575 €,"4.125,00 EUR",4 von 7,55 m²,sofort,1,1,1,,1997,Neuwertig,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,A,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
zentral gelegenes Mikroapartment*Neubau*EBK*Parkett*Balkon*ruhige Lage in Berlin-Mitte,https://www.immobilienscout24.de/expose/115239104,901 €,keine Angabe,keine Angabe,999 € (zzgl. Nebenkosten & Heizkosten),1.500 € Kaution,,"28,9 m²",sofort,1,,,True,2019,Erstbezug,Gehobene Qualität,Fußbodenheizung,Erdwärme,liegt vor,Bedarfsausweis,"16,3 kWh/(m²*a)",A+,Carolin Weiß berlin.immobilie@mailbox.org Berlin,"Spenerstraße 10, 10557 Berlin, Tiergarten (Tiergarten)"
"Lichtdurchflutetes Penthouse mit exklusiver Ausstattung, in zentraler Wohnlage ***Lift***EBK***So...",https://www.immobilienscout24.de/expose/115422589,2.349 €,350 €,keine Angabe,2.699 € (zzgl. Heizkosten),"7.047,00",,165 m²,,"3,5",,,True,unbekannt,,,,Fernwärme,liegt vor,Bedarfsausweis,51 kWh/(m²*a),B,WERNEBURG IMMOBILIEN Marientaler Straße 24a 12437 Berlin,"10367 Berlin-Lichtenberg, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
400€ Monatasmiete! Alle Kosten außer Strom!,https://www.immobilienscout24.de/expose/67077633,400 €,60 €,inkl. 40 €,500 €,975,1 von 4,23 m²,20.01.2020,1,,,,2012,Vollständig renoviert,Normale Qualität,Zentralheizung,Fernwärme-Dampf,liegt vor,Verbrauchsausweis,,A,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Großzügig geschnittene Dachgeschosswohnung in grüner Lage!! **Tageslicht-& Wannenbad**Mietergart...,https://www.immobilienscout24.de/expose/115179404,889 €,396 €,keine Angabe,1.285 € (zzgl. Heizkosten),"2.667,00",,117 m²,,3,,,,unbekannt,,,,Gas,liegt vor,Verbrauchsausweis,,,WERNEBURG IMMOBILIEN Marientaler Straße 24a 12437 Berlin,"13053 Berlin-Lichtenberg, Alt-Hohenschönhausen (Hohenschönhausen) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Großzügige Maisonette-Wohnung mit Kamin in einem Zweifamilienhaus,https://www.immobilienscout24.de/expose/110595543,4.500 €,keine Angabe,nicht in Nebenkosten enthalten,5.000 € (zzgl. Nebenkosten & Heizkosten),,1 von 2,"152,45 m²",,8,5,3,True,2006,Modernisiert,Gehobene Qualität,Zentralheizung,Gas,,,,,Plaza Immobilien Clayallee 171 14195 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug! Lichtdurchflutete 2 Zimmer mit Süd/Westbalkon,https://www.immobilienscout24.de/expose/115567943,"1.154,34 €","305,97 €","64,13 €","1.524,44 €",3463.02,5,"64,13 m²",01.04.2020,2,1,1,,2018,Erstbezug,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,55 kWh/(m²*a),B,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Lehrter Straße 23D, 10557 Berlin, Tiergarten (Tiergarten)"
Elegante 3-Zimmer-Wohnung mit hohem Wohnkomfort,https://www.immobilienscout24.de/expose/115545426,"1.600,13 €","177,65 €","97,75 €","1.875,53 €",4800.39,3 von 7,"106,25 m²",,3,2,2,True,2009,Gepflegt,,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,E,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Seydelstr. 22, 10117 Berlin, Mitte (Mitte)"
Einzug nach Modernisierung!!! Moderne 3-Zimmerwohnung im ruhigen Pankow-Niederschönhausen,https://www.immobilienscout24.de/expose/115308986,1.283 €,261 €,inkl. 117 €,1.544 €,"Kaution: 2.566,00 EUR",2,"102,63 m²",sofort,3,,,True,1900,Modernisiert,,,Gas,,Verbrauchsausweis,,E,Covivio Immobilien GmbH Am Steinberg 6 13086 Berlin,"Friedrich-Engels-Str. 23, 13156 Berlin, Niederschönhausen (Pankow)"
"2 große Balkone, denn der nächste Sommer kommt bestimmt - Neubau Erstbezug",https://www.immobilienscout24.de/expose/115124435,2.100 €,400 €,in Nebenkosten enthalten,2.500 €,3 Nettokaltmieten,4,120 m²,Sofort,4,3,2,True,2019,Erstbezug,Gehobene Qualität,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,B,Claudia Germershausen Concept Immobilien Regensburger Str. 31 10777 Berlin,"Heilbronner Str. 10, 10711 Berlin, Wilmersdorf (Wilmersdorf)"
"Gehobene, neu ausgebaute 3-Zimmer-Wohnung mit neuer EBK und Südbalkon am Kurfürstendamm!",https://www.immobilienscout24.de/expose/115672265,"1.223,65 €","250,59 €","inkl. 107,35 €","1.474,24 €",3 Nettokaltmieten,3 von 5,"71,98 m²",voraus. 1.3.2020,3,,,True,1965,,Gehobene Qualität,Fernwärme,,laut Gesetz nicht erforderlich,,,,Trialog GmbH Karl-Marx-Allee 90 A 10243 Berlin,"Kurfürstendamm 73, 10709 Berlin, Charlottenburg (Charlottenburg)"
You only have to move in here because I am fully furnished !!,https://www.immobilienscout24.de/expose/115507983,1.299 €,190 €,in Nebenkosten enthalten,1.489 €,4197,4 von 6,"73,41 m²",now,2,1,1,,1901,Gepflegt,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,C,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Paul-Robeson-Strasse 43, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Vollmöblierte Wohnung am Lokdepot!,https://www.immobilienscout24.de/expose/115025698,1.799 €,450 €,in Nebenkosten enthalten,2.249 €,5397,3 von 5,115 m²,sofort,3,2,2,True,2016,Gepflegt,,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,67 kWh/(m²*a),B,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Am Lokdepot 13, 10965 Berlin, Kreuzberg (Kreuzberg)"
"Hier brauchen Sie nur noch einziehen, denn ich bin vollmöbliert!!",https://www.immobilienscout24.de/expose/108982092,1.299 €,190 €,in Nebenkosten enthalten,1.489 €,4197,4 von 6,"73,41 m²",sofort,2,1,1,,1901,Gepflegt,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,C,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Paul-Robeson-Strasse 43, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Gesundbrunnen! Charmante 2 Zimmer - moderne Ausstattung - Garten - ca. 59 m² - 730 € zzgl. HK,https://www.immobilienscout24.de/expose/92879336,645 €,85 €,0 €,730 €,3 x Nettokaltmiete,0,"58,64 m²",01.03.2020,2,,,True,1912,Modernisiert,Gehobene Qualität,Etagenheizung,Gas,liegt vor,Bedarfsausweis,"120,3 kWh/(m²*a)",,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Grüntaler Straße 27-28, 13357 Berlin, Wedding (Wedding)"
Die ersten drei Monate zahlen Sie nur Nebenkosten! Top Singlewohnung!,https://www.immobilienscout24.de/expose/114901835,480 €,141 €,in Nebenkosten enthalten,621 €,"960,00",4 von 4,"42,61 m²",sofort,1,,1,,1900,Gepflegt,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,E,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Hönower Str. 189, 12623 Berlin, Mahlsdorf (Hellersdorf)"
Hochwertiges Wohnen mitten im Kiez!!,https://www.immobilienscout24.de/expose/114310731,1.999 €,335 €,in Nebenkosten enthalten,2.334 €,5997,5 von 7,134 m²,sofort,3,2,1,True,2009,Gepflegt,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,B,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Auerstr. 1, 10249 Berlin, Friedrichshain (Friedrichshain)"
Furnished apartment Am Lokdepot!!!,https://www.immobilienscout24.de/expose/115147800,1.799 €,450 €,in Nebenkosten enthalten,2.249 €,5397,3 von 5,115 m²,now,3,2,2,True,2016,Gepflegt,,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,67 kWh/(m²*a),B,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Am Lokdepot 13, 10965 Berlin, Kreuzberg (Kreuzberg)"
Zum Anfang des Jahres kommen die Schmuckstücke ans Tageslicht.....,https://www.immobilienscout24.de/expose/114446618,1.993 €,143 €,110 €,2.246 €,3 Nettokaltmieten,4 von 4,"128,56 m²",01.01.2020,3,2,1,True,1895,Erstbezug,Gehobene Qualität,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,"257,9 kWh/(m²*a)",,"Peggy Matusch, V-V-S-Management Skladanowskystr. 1 13156 Berlin","Moselstraße 7-8, 12159 Berlin, Friedenau (Schöneberg)"
Bezugsfrei! 2-Zimmer-Neubau-Wohnung mit Süd-Balkon in Köpenick,https://www.immobilienscout24.de/expose/115072589,"726,63 €","121,17 €","inkl. 49,57 €","847,80 €","2.179,89",2 von 5,"55,2 m²",sofort,2,2,1,True,2015,Neuwertig,Gehobene Qualität,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,"50,1 kWh/(m²*a)",B,DICK Immobilienmanagement e.K. EUREF-Campus 13 10829 Berlin,"Adlershofer Straße 1, 12557 Berlin, Köpenick (Köpenick)"
Schicke Altbau-Wohnung mit 2 Balkonen im Tegeler Kiez!,https://www.immobilienscout24.de/expose/114858193,1.099 €,372 €,inkl. 182 €,1.471 €,"Kaution: 3.297,00 EUR",3,"82,67 m²",sofort,3,,,True,1910,Modernisiert,,Zentralheizung,Öl,,Verbrauchsausweis,,F,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Berliner Str. 1A, 13507 Berlin, Tegel (Reinickendorf)"
sehr schöne 4-zi-maisonette-loft-garten-whg mit großer terrasse u. EBK,https://www.immobilienscout24.de/expose/115787009,3.825 €,675 €,in Nebenkosten enthalten,4.500 €,"11.475,00 EUR",1 von 5,225 m²,sofort,4,2,2,True,1918,Erstbezug,Luxus,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,D,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Neu! Erstbezug in Berlin-Staaken! Tolle Wohnungen mit hochw. Ausstattung in Grünlage! 2xTerr, EBK...",https://www.immobilienscout24.de/expose/115666883,790 €,230 €,in Nebenkosten enthalten,1.110 €,,0 von 3,76 m²,sofort,2,1,1,True,1935,Erstbezug nach Sanierung,Gehobene Qualität,,,laut Gesetz nicht erforderlich,,,,Forum Immobilien Lindenstr. 5 16548 Glienicke,"Metropolitan Park 56, 13591 Berlin, Staaken (Spandau)"
Moderne Dachgeschosswohnung in Adlershof,https://www.immobilienscout24.de/expose/115667007,"1.142,75 €",100 €,96 €,"1.338,75 €","3.428,25",3 von 3,"88,93 m²",frei,3,2,1,True,2017,Gepflegt,Gehobene Qualität,Fernwärme,Fernwärme-Dampf,liegt vor,Bedarfsausweis,57 kWh/(m²*a),,DIM Holding AG Potsdamer Str. 188 10738 Berlin,"Katharina-Boll-Dornberger-Str. 16, 12489 Berlin, Adlershof (Treptow)"
Möbliertes Design Apartment nahe Gendarmenmarkt -Maisonette-Klima-Sauna-offener Kamin-,https://www.immobilienscout24.de/expose/115043900,5.981 €,675 €,in Nebenkosten enthalten,6.656 €,,8,225 m²,Sofort,5,3,3,,2000,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,B,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Behrenstraße 28, 10117 Berlin, Mitte (Mitte)"
WBS notwendig! Ruhig wohnen am Göschenpark / Sofort bezugsfrei,https://www.immobilienscout24.de/expose/115804278,"401,44 €",100 €,50 €,"551,44 €","1.204,32 €",,"53,74 m²",sofort,"1,5",,,True,1984,Vollständig renoviert,Normale Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,E,INTER-REAL Grundstücks-GmbH Carmerstraße 6 10623 Berlin,"Göschenstraße 35/36, 13437 Berlin, Wittenau (Reinickendorf)"
Großzügige Familienwohnung * Ruhige Lage * Zentral * Neubau,https://www.immobilienscout24.de/expose/114035856,1.800 €,300 €,inkl. 100 €,2.100 €,5.400 EUR,2 von 6,95 m²,01.11.2019,3,2,2,True,,Erstbezug,Gehobene Qualität,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,JennerLiving Choriner Straße 13 10119 Berlin,"Katharinenstraße 14, 10711 Berlin, Wilmersdorf (Wilmersdorf)"
Live in the heart of Berlin - Potsdamer Platz,https://www.immobilienscout24.de/expose/115667985,790 €,50 €,in Nebenkosten enthalten,840 €,EUR 1680.00,5,13 m²,05.03.2020,1,1,,,,Modernisiert,Gehobene Qualität,Zentralheizung,,,,,,homefully GmbH,"Linkstraße 6, 10785 Berlin, Tiergarten (Tiergarten)"
"Neu! Berlin-Staaken! Tolle Wohnungen mit hochw. Ausstattung in Grünlage! Terr, EBK...",https://www.immobilienscout24.de/expose/115667470,820 €,230 €,in Nebenkosten enthalten,1.100 €,,0 von 3,77 m²,sofort,"2,5",2,1,True,1935,Erstbezug nach Sanierung,Gehobene Qualität,,,laut Gesetz nicht erforderlich,,,,Forum Immobilien Lindenstr. 5 16548 Glienicke,"Metropolitan Park 63, 13591 Berlin, Staaken (Spandau)"
