straße,bezirk,wohnlage_einstufung,gebietsstand,hausnummer,buchstabe,lage_im_stadtgebiet,ortsteil
Adolfstraße,MaHe,mittel,32,32,32,32,32
Adolfstraße,MaHe,mittel *,4,4,4,4,4
Adolfstraße,Mitt,einfach,1,0,1,1,1
Adolfstraße (Stegl),StZe,mittel,1,0,1,1,1
Adolfstraße (Zehld),StZe,mittel,1,0,1,1,1
Adorfer Straße,MaHe,einfach,1,0,1,1,1
Aegirstraße,Rein,einfach,9,9,9,9,9
Aegirstraße,Rein,einfach *,2,2,2,2,2
Affensteinweg,Pank,einfach,1,0,1,1,1
Afrikanische Straße,Mitt,einfach,30,30,30,30,30
Afrikanische Straße,Mitt,einfach *,173,173,173,173,173
Afrikanische Straße,Mitt,einfach*,37,37,37,37,37
Agathenweg,Rein,mittel,1,0,1,1,1
Agavensteig,Lich,mittel,34,34,34,34,34
Agavensteig,Lich,mittel *,6,6,6,6,6
Agavensteig,TrKö,einfach,133,133,133,133,133
Agavensteig,TrKö,einfach *,25,25,25,25,25
Agnes-Hacker-Straße,TrKö,mittel,1,0,1,1,1
Agnes-Straub-Weg,Neuk,mittel,23,23,23,23,0
Agnes-Straub-Weg,Neuk,mittel *,1,1,1,1,0
Agnes-Straub-Weg,Neuk,mittel*,1,1,1,1,0
Agnes-Wabnitz-Straße,Pank,mittel,1,0,1,1,1
Agnethaweg,Lich,mittel,1,0,1,1,1
Agricolastraße,Mitt,mittel,1,0,1,1,1
Ahlbecker Straße,Pank,gut,11,11,11,11,11
Ahlbecker Straße,Pank,gut *,11,11,11,11,11
Ahlbeerensteig,Span,einfach,10,10,10,10,10
Ahlbeerensteig,Span,einfach *,14,14,14,14,14
Ahlener Weg,StZe,einfach,1,0,1,1,1
Ahornallee,ChWi,gut,47,47,47,47,47
Ahornallee,ChWi,gut *,6,6,6,6,6
Ahornallee,MaHe,einfach,17,17,17,17,17
Ahornallee,MaHe,einfach *,1,1,1,1,1
Ahornallee,MaHe,mittel,41,41,41,41,41
Ahornallee,Span,mittel,1,0,1,1,1
Ahornallee (Blanb),Pank,mittel,1,0,1,1,1
Ahornallee (Frihg),TrKö,gut,54,54,54,54,54
Ahornallee (Frihg),TrKö,gut *,1,1,1,1,1
Ahornallee (Köpen),TrKö,mittel,52,52,52,52,52
Ahornallee (Roset),Pank,mittel,9,9,9,9,9
Ahornallee (Roset),Pank,mittel *,1,1,1,1,1
Ahornstraße,MaHe,mittel,1,0,1,1,1
Ahornstraße,TSch,mittel,5,5,5,5,5
Ahornstraße,TSch,mittel *,1,1,1,1,1
Ahornstraße,TrKö,mittel,1,0,1,1,1
Ahornstraße (Stegl),StZe,gut,30,30,30,30,30
Ahornstraße (Stegl),StZe,gut *,1,1,1,1,1
Ahornstraße (Zehld),StZe,gut,22,22,22,22,22
Ahornstraße (Zehld),StZe,gut *,1,1,1,1,1
Ahornweg,TrKö,mittel,22,22,22,22,22
Ahornweg,TrKö,mittel *,1,1,1,1,1
Ahrensdorfer Straße,TSch,einfach,21,21,21,21,21
Ahrensdorfer Straße,TSch,mittel,13,13,13,13,13
Ahrensdorfer Straße,TSch,mittel *,3,3,3,3,3
Ahrensfelder Chaussee,Lich,einfach,9,9,9,9,9
Ahrensfelder Chaussee,Lich,einfach *,112,112,112,112,112
Ahrensfelder Chaussee,MaHe,einfach,18,18,18,18,18
Ahrensfelder Chaussee,MaHe,einfach *,111,111,111,111,111
Ahrensfelder Chaussee,MaHe,einfach*,13,13,13,13,13
Ahrenshooper Straße,Lich,mittel,1,0,1,1,1
Ahrenshooper Zeile,StZe,gut,138,138,138,138,138
Ahrenshooper Zeile,StZe,gut *,1,1,1,1,1
Ahrweilerstraße,ChWi,gut,30,30,30,30,30
Ahrweilerstraße,ChWi,gut *,6,6,6,6,6
Aiblinger Weg,Span,mittel,1,0,1,1,1
Aidastraße,Pank,mittel,16,16,16,16,16
Aidastraße,Pank,mittel *,1,1,1,1,1
Akazienallee,ChWi,gut,120,120,120,120,120
Akazienallee,ChWi,gut *,5,5,5,5,5
Akazienallee,MaHe,mittel,34,34,34,34,34
Akazienallee,MaHe,mittel *,2,2,2,2,2
Akazienallee,Pank,einfach,1,0,1,1,1
Akazienhof,TrKö,mittel,25,25,25,25,25
Akazienhof,TrKö,mittel *,1,1,1,1,1
Akazienstraße,StZe,gut,3,3,3,3,3
Akazienstraße,StZe,gut *,1,1,1,1,1
Akazienstraße,TSch,mittel,26,26,26,26,26
Akazienstraße,TSch,mittel *,5,5,5,5,5
Akazienweg,Span,mittel,1,0,1,1,1
Akeleiweg,TrKö,einfach,157,157,157,157,157
Akeleiweg,TrKö,einfach *,30,30,30,30,30
Akeleiweg,TrKö,einfach*,2,2,2,2,2
Akkordeonweg,Pank,einfach,1,0,1,1,1
Alarichstraße,TSch,mittel *,23,23,23,23,23
Albanstraße,TSch,mittel,44,44,44,44,44
Albanstraße,TSch,mittel *,10,10,10,10,10
Alberichstraße,MaHe,einfach,164,164,164,164,164
Alberichstraße,MaHe,mittel,94,94,94,94,94
Albersweilerweg,Neuk,einfach,1,0,1,1,0
Albert-Einstein-Straße,TrKö,einfach,30,30,30,30,30
Albert-Einstein-Straße,TrKö,einfach*,1,1,1,1,1
Albert-Hößler-Straße,Lich,einfach,1,0,1,1,1
Albert-Kuntz-Straße,MaHe,mittel,82,82,82,82,82
Albert-Kuntz-Straße,MaHe,mittel *,6,6,6,6,6
Albert-Schweitzer-Straße,TrKö,gut,1,0,1,1,1
Albertinenstraße,Pank,gut,26,26,26,26,26
Albertinenstraße,Pank,gut *,2,2,2,2,2
Albertinenstraße,StZe,gut,29,29,29,29,29
Albertinenstraße,StZe,gut *,2,2,2,2,2
Albertstraße,TSch,einfach,34,34,34,34,34
Albertstraße,TSch,einfach *,6,6,6,6,6
Albestraße,TSch,gut,1,0,1,1,1
Albiger Weg,StZe,gut,1,0,1,1,1
Alboinplatz,TSch,einfach *,3,3,3,3,3
Alboinplatz,TSch,mittel,15,15,15,15,15
Alboinstraße,TSch,einfach,8,8,8,8,8
Alboinstraße,TSch,einfach *,116,116,116,116,116
Alboinstraße,TSch,mittel,19,19,19,19,19
Alboinstraße,TSch,mittel *,101,101,101,101,101
Albrecht-Achilles-Straße,ChWi,gut,25,25,25,25,25
Albrecht-Achilles-Straße,ChWi,gut *,3,3,3,3,3
Albrecht-Berblinger-Straße,Span,mittel,1,0,1,1,1
Albrecht-Dürer-Straße,MaHe,einfach,29,29,29,29,29
Albrecht-Dürer-Straße,MaHe,mittel,16,16,16,16,16
Albrecht-Thaer-Weg,StZe,gut,1,0,1,1,1
Albrechts Teerofen,StZe,gut,114,114,114,114,114
Albrechts Teerofen,StZe,gut *,1,1,1,1,1
Albrechtshofer Weg,Span,einfach,1,0,1,1,1
Albrechtstraße,Mitt,gut,20,20,20,20,20
Albrechtstraße,Mitt,gut *,5,5,5,5,5
Albrechtstraße,Mitt,gut*,1,1,1,1,1
Albrechtstraße,StZe,gut,11,11,11,11,11
Albrechtstraße,StZe,gut *,74,74,74,74,74
Albrechtstraße,StZe,mittel,12,12,12,12,12
Albrechtstraße,StZe,mittel *,45,45,45,45,45
Albrechtstraße,TSch,einfach,15,15,15,15,15
Albrechtstraße,TSch,mittel,103,103,103,103,103
Albrechtstraße,TSch,mittel *,10,10,10,10,10
Albtalweg,Rein,mittel,1,0,1,1,1
Albulaweg,TSch,mittel,54,54,54,54,54
Albulaweg,TSch,mittel *,1,1,1,1,1
Alemannenallee,ChWi,gut,1,0,1,1,1
Alemannenstraße,Rein,gut,221,221,221,221,221
Alemannenstraße,Rein,gut *,1,1,1,1,1
Alemannenstraße,StZe,gut *,1,0,1,1,1
Alemannenstraße,TrKö,mittel,17,17,17,17,17
Alemannenstraße,TrKö,mittel *,33,33,33,33,33
Alex-Wedding-Straße,Mitt,mittel,1,0,1,1,1
Alexander-Meißner-Straße,TrKö,einfach,86,86,86,86,86
Alexander-Meißner-Straße,TrKö,einfach *,2,2,2,2,2
Alexander-von-Humboldt-Weg,TrKö,einfach,1,0,1,1,1
Alexanderplatz,Mitt,mittel,1,1,1,1,1
Alexanderplatz,Mitt,mittel *,4,4,4,4,4
Alexanderstraße,Mitt,mittel,2,2,2,2,2
Alexanderstraße,Mitt,mittel *,66,66,66,66,66
Alexanderufer,Mitt,gut,1,1,1,1,1
Alexanderufer,Mitt,gut *,7,7,7,7,7
Alexandrinenstraße,FrKr,einfach,83,83,83,83,83
Alexandrinenstraße,FrKr,einfach *,5,5,5,5,5
Alexandrinenstraße,Mitt,gut,2,2,2,2,2
Alfelder Straße,MaHe,mittel,196,196,196,196,196
Alfelder Straße,MaHe,mittel *,3,3,3,3,3
Alfons-Loewe-Straße,Span,einfach,34,34,34,34,34
Alfons-Loewe-Straße,Span,einfach *,1,1,1,1,1
Alfonsstraße,TrKö,einfach,17,17,17,17,17
Alfonsstraße,TrKö,mittel,66,66,66,66,66
Alfred-Döblin-Straße,MaHe,mittel,1,0,1,1,1
Alfred-Jung-Straße,Lich,mittel,36,36,36,36,36
Alfred-Jung-Straße,Lich,mittel *,4,4,4,4,4
Alfred-Kowalke-Straße,Lich,mittel,16,16,16,16,16
Alfred-Kowalke-Straße,Lich,mittel *,15,15,15,15,15
Alfred-Kowalke-Straße,Lich,mittel*,10,10,10,10,10
Alfred-Randt-Straße,TrKö,mittel,1,0,1,1,1
Alfred-Rojek-Weg,Neuk,einfach,1,0,1,1,0
Alfred-Siggel-Weg,Lich,mittel,1,0,1,1,1
Alfredstraße,Lich,einfach *,1,0,1,1,1
Alice-Berend-Straße,Mitt,mittel*,1,0,1,1,1
Alice-Salomon-Platz,MaHe,mittel *,1,0,1,1,1
Alice-und-Hella-Hirsch-Ring,Lich,mittel,1,0,1,1,1
Alkenweg,TrKö,mittel,1,0,1,1,1
Allee der Kosmonauten,Lich,einfach,6,6,6,6,6
Allee der Kosmonauten,Lich,einfach *,2,2,2,2,2
Allee der Kosmonauten,Lich,mittel,3,3,3,3,3
Allee der Kosmonauten,MaHe,einfach,35,35,35,35,35
Allee der Kosmonauten,MaHe,einfach *,39,39,39,39,39
Allee der Kosmonauten,MaHe,einfach*,1,1,1,1,1
Allee der Kosmonauten,MaHe,mittel,68,68,68,68,68
Allee der Kosmonauten,MaHe,mittel *,36,36,36,36,36
Allee der Kosmonauten,MaHe,mittel*,1,1,1,1,1
Allendeweg,TrKö,mittel,28,28,28,28,28
Allendeweg,TrKö,mittel *,1,1,1,1,1
Allendorfer Weg,Lich,einfach,10,10,10,10,10
Allendorfer Weg,Lich,einfach *,3,3,3,3,3
Allendorfer Weg,Lich,mittel,3,3,3,3,3
Allendorfer Weg,Lich,mittel *,44,44,44,44,44
Allerstraße,Neuk,einfach,44,44,44,44,0
Allerstraße,Neuk,einfach *,3,3,3,3,0
Allgäuer Weg,TSch,mittel,1,0,1,1,1
Allmendeweg,Rein,mittel,1,0,1,1,1
Allmersweg,TrKö,mittel,20,20,20,20,20
Allmersweg,TrKö,mittel *,2,2,2,2,2
Allée St. Exupéry,Rein,mittel,1,0,1,1,1
Almazeile,Rein,mittel,1,0,1,1,1
Almstadtstraße,Mitt,gut,96,96,96,96,96
Almstadtstraße,Mitt,gut *,5,5,5,5,5
Almstadtstraße,Mitt,mittel *,1,1,1,1,1
Almutstraße,Rein,mittel,6,6,6,6,6
Almutstraße,Rein,mittel *,1,1,1,1,1
Almweg,TSch,mittel,1,0,1,1,1
Alpenberger Straße,Pank,einfach,1,0,1,1,1
Alpenrosenweg,TrKö,einfach,92,92,92,92,92
Alpenrosenweg,TrKö,einfach *,1,1,1,1,1
Alpenrosenweg,TrKö,mittel,17,17,17,17,17
Alpenveilchenweg,MaHe,mittel,1,0,1,1,1
Alpnacher Weg,Pank,mittel,1,0,1,1,1
Alsaceweg,Pank,einfach,3,3,3,3,3
Alsaceweg,Pank,einfach *,5,5,5,5,5
Alsbacher Weg,StZe,gut,1,0,1,1,1
Alsenstraße (Stegl),StZe,mittel,1,1,1,1,1
Alsenstraße (Stegl),StZe,mittel*,10,10,10,10,10
Alsenstraße (Wanns),StZe,gut,1,0,1,1,1
Alsenzer Weg,TrKö,einfach,108,108,108,108,108
Alsenzer Weg,TrKö,mittel,31,31,31,31,31
Alsheimer Straße,StZe,gut,7,7,7,7,7
Alsheimer Straße,StZe,mittel,2,2,2,2,2
Alsheimer Straße,StZe,mittel *,1,1,1,1,1
Alsterweg,StZe,mittel,1,0,1,1,1
Alt-Biesdorf,MaHe,mittel,1,1,1,1,1
Alt-Biesdorf,MaHe,mittel*,75,75,75,75,75
Alt-Blankenburg,Pank,mittel,33,33,33,33,33
Alt-Blankenburg,Pank,mittel*,100,100,100,100,100
Alt-Britz,Neuk,einfach,1,1,1,1,0
Alt-Britz,Neuk,mittel,165,165,165,165,0
Alt-Britz,Neuk,mittel*,2,2,2,2,0
Alt-Buch,Pank,mittel,9,9,9,9,9
Alt-Buch,Pank,mittel*,66,66,66,66,66
Alt-Buckow,Neuk,einfach,45,45,45,45,0
Alt-Buckow,Neuk,einfach*,69,69,69,69,0
Alt-Friedrichsfelde,Lich,einfach,5,5,5,5,5
Alt-Friedrichsfelde,Lich,einfach *,83,83,83,83,83
Alt-Friedrichsfelde,Lich,mittel,5,5,5,5,5
Alt-Friedrichsfelde,Lich,mittel *,21,21,21,21,21
Alt-Friedrichsfelde,MaHe,mittel *,3,3,3,3,3
Alt-Gatow,Span,mittel,42,42,42,42,42
Alt-Gatow,Span,mittel *,78,78,78,78,78
Alt-Gatow,Span,mittel*,1,1,1,1,1
Alt-Heiligensee,Rein,mittel,140,140,140,140,140
Alt-Heiligensee,Rein,mittel *,58,58,58,58,58
Alt-Hellersdorf,MaHe,mittel,1,0,1,1,1
Alt-Hermsdorf,Rein,mittel,39,39,39,39,39
Alt-Hermsdorf,Rein,mittel *,2,2,2,2,2
Alt-Karow,Pank,mittel,15,15,15,15,15
Alt-Karow,Pank,mittel *,57,57,57,57,57
Alt-Kaulsdorf,MaHe,einfach *,3,3,3,3,3
Alt-Kaulsdorf,MaHe,mittel,3,3,3,3,3
Alt-Kaulsdorf,MaHe,mittel *,211,211,211,211,211
Alt-Kladow,Span,mittel,42,42,42,42,42
Alt-Kladow,Span,mittel *,2,2,2,2,2
Alt-Köpenick,TrKö,mittel *,1,0,1,1,1
Alt-Lankwitz,StZe,mittel,172,172,172,172,172
Alt-Lankwitz,StZe,mittel *,23,23,23,23,23
Alt-Lankwitz,StZe,mittel*,3,3,3,3,3
Alt-Lichtenrade,TSch,mittel,235,235,235,235,235
Alt-Lichtenrade,TSch,mittel *,19,19,19,19,19
Alt-Lichtenrade,TSch,mittel*,3,3,3,3,3
Alt-Lietzow,ChWi,mittel,70,70,70,70,70
Alt-Lietzow,ChWi,mittel *,2,2,2,2,2
Alt-Lübars,Rein,mittel,14,14,14,14,14
Alt-Lübars,Rein,mittel *,30,30,30,30,30
Alt-Lübars,Rein,mittel*,1,1,1,1,1
Alt-Mahlsdorf,MaHe,einfach *,10,10,10,10,10
Alt-Mahlsdorf,MaHe,mittel,6,6,6,6,6
Alt-Mahlsdorf,MaHe,mittel *,84,84,84,84,84
Alt-Mariendorf,TSch,einfach,8,8,8,8,8
Alt-Mariendorf,TSch,einfach *,40,40,40,40,40
Alt-Mariendorf,TSch,mittel,5,5,5,5,5
Alt-Mariendorf,TSch,mittel *,54,54,54,54,54
Alt-Mariendorf,TSch,mittel*,9,9,9,9,9
Alt-Marienfelde,TSch,mittel,1,0,1,1,1
Alt-Marzahn,MaHe,mittel,95,95,95,95,95
Alt-Marzahn,MaHe,mittel *,21,21,21,21,21
Alt-Marzahn,MaHe,mittel*,2,2,2,2,2
Alt-Moabit,Mitt,einfach,2,2,2,2,2
Alt-Moabit,Mitt,einfach *,39,39,39,39,39
Alt-Moabit,Mitt,mittel,12,12,12,12,12
Alt-Moabit,Mitt,mittel *,90,90,90,90,90
Alt-Moabit,Mitt,mittel*,2,2,2,2,2
Alt-Müggelheim,TrKö,einfach,1,1,1,1,1
Alt-Müggelheim,TrKö,einfach *,5,5,5,5,5
Alt-Müggelheim,TrKö,mittel,2,2,2,2,2
Alt-Müggelheim,TrKö,mittel *,17,17,17,17,17
Alt-Pichelsdorf,Span,mittel,57,57,57,57,57
Alt-Pichelsdorf,Span,mittel *,6,6,6,6,6
Alt-Reinickendorf,Rein,einfach,55,55,55,55,55
Alt-Reinickendorf,Rein,einfach *,4,4,4,4,4
Alt-Reinickendorf,Rein,einfach*,2,2,2,2,2
Alt-Rudow,Neuk,mittel,129,129,129,129,0
Alt-Rudow,Neuk,mittel *,8,8,8,8,0
Alt-Rudow,Neuk,mittel*,5,5,5,5,0
Alt-Schmöckwitz,TrKö,einfach,11,11,11,11,11
Alt-Schmöckwitz,TrKö,einfach *,11,11,11,11,11
Alt-Schönow,StZe,mittel,22,22,22,22,22
Alt-Schönow,StZe,mittel *,1,1,1,1,1
Alt-Stralau,FrKr,gut,57,57,57,57,57
Alt-Stralau,FrKr,gut *,2,2,2,2,2
Alt-Stralau,FrKr,mittel *,10,10,10,10,10
Alt-Tegel,Rein,gut,91,91,91,91,91
Alt-Tegel,Rein,gut *,2,2,2,2,2
Alt-Tempelhof,TSch,einfach *,33,33,33,33,33
Alt-Tempelhof,TSch,mittel,8,8,8,8,8
Alt-Tempelhof,TSch,mittel *,60,60,60,60,60
Alt-Treptow,TrKö,gut *,1,1,1,1,1
Alt-Treptow,TrKö,mittel,1,1,1,1,1
Alt-Treptow,TrKö,mittel *,15,15,15,15,15
Alt-Wittenau,Rein,mittel,30,30,30,30,30
Alt-Wittenau,Rein,mittel *,47,47,47,47,47
Alt-Wittenau,Rein,mittel*,21,21,21,21,21
Altarsteinweg,Pank,einfach,1,0,1,1,1
Altdammer Weg,Rein,mittel,1,0,1,1,1
Altdorfer Straße,StZe,gut,82,82,82,82,82
Altdorfer Straße,StZe,mittel *,1,1,1,1,1
Alte Allee,ChWi,gut,64,64,64,64,64
Alte Allee,ChWi,gut *,1,1,1,1,1
Alte Brauerei,FrKr,mittel,1,0,1,1,1
Alte Hellersdorfer Straße,MaHe,einfach,15,15,15,15,15
Alte Hellersdorfer Straße,MaHe,einfach *,1,1,1,1,1
Alte Hellersdorfer Straße,MaHe,mittel,184,184,184,184,184
Alte Hellersdorfer Straße,MaHe,mittel *,57,57,57,57,57
Alte Hellersdorfer Straße,MaHe,mittel*,7,7,7,7,7
Alte Jakobstraße,FrKr,einfach,60,60,60,60,60
Alte Jakobstraße,FrKr,einfach *,27,27,27,27,27
Alte Jakobstraße,Mitt,gut,3,3,3,3,3
Alte Jakobstraße,Mitt,gut *,32,32,32,32,32
Alte Kaulsdorfer Straße,TrKö,mittel,2,2,2,2,2
Alte Kaulsdorfer Straße,TrKö,mittel *,30,30,30,30,30
Alte Leipziger Straße,Mitt,gut,1,0,1,1,1
Alte Potsdamer Straße,Mitt,gut,1,0,1,1,1
Alte Rhinstraße,MaHe,einfach,1,1,1,1,1
Alte Rhinstraße,MaHe,einfach *,7,7,7,7,7
Alte Schönhauser Straße,Mitt,gut,2,2,2,2,2
Alte Schönhauser Straße,Mitt,gut *,48,48,48,48,48
Alte Schönhauser Straße,Mitt,mittel *,2,2,2,2,2
Altenauer Weg,StZe,mittel,1,0,1,1,1
Altenberger Weg,Pank,mittel,56,56,56,56,56
Altenberger Weg,Pank,mittel *,2,2,2,2,2
Altenbraker Straße,Neuk,einfach,58,58,58,58,0
Altenbraker Straße,Neuk,einfach *,2,2,2,2,0
Altenburger Allee,ChWi,gut,1,0,1,1,1
Altenburger Straße,StZe,mittel,1,0,1,1,1
Altenescher Weg,Pank,einfach,56,56,56,56,56
Altenescher Weg,Pank,einfach *,1,1,1,1,1
Altenhofer Straße,Lich,mittel,38,38,38,38,38
Altenhofer Straße,Lich,mittel *,16,16,16,16,16
Altenhofer Weg,Rein,einfach,17,17,17,17,17
Altenhofer Weg,Rein,mittel,17,17,17,17,17
Altensteinstraße,StZe,gut,7,7,7,7,7
Altensteinstraße,StZe,gut *,96,96,96,96,96
Altentreptower Straße,MaHe,mittel,2,2,2,2,2
Altentreptower Straße,MaHe,mittel *,6,6,6,6,6
Alter Bernauer Heerweg,Rein,mittel,1,0,1,1,1
Alter Fischerweg,TrKö,mittel *,1,0,1,1,1
Alter Markt,TrKö,mittel,1,0,1,1,1
Alter Radelander Weg,TrKö,einfach,1,0,1,1,1
Alter Schönefelder Weg,TrKö,einfach,28,28,28,28,28
Alter Schönefelder Weg,TrKö,einfach *,1,1,1,1,1
Alter Wiesenweg,Rein,einfach,69,69,69,69,69
Alter Wiesenweg,Rein,einfach *,43,43,43,43,43
Altes Gaswerk Mariendorf,TSch,einfach,42,42,42,42,42
Altes Gaswerk Mariendorf,TSch,einfach *,1,1,1,1,1
Altglienicker Grund,TrKö,mittel,1,0,1,1,1
Altgrabauer Straße,TrKö,mittel,1,0,1,1,1
Althansweg,MaHe,einfach,21,21,21,21,21
Althansweg,MaHe,einfach *,11,11,11,11,11
Altheider Straße,TrKö,mittel,46,46,46,46,46
Altheider Straße,TrKö,mittel *,6,6,6,6,6
Althoffplatz,StZe,gut,6,6,6,6,6
Althoffplatz,StZe,gut*,1,1,1,1,1
Althoffstraße,StZe,gut,1,0,1,1,1
Altkanzlerstraße,StZe,gut,1,1,1,1,1
Altkanzlerstraße,StZe,gut *,6,6,6,6,6
Altkircher Straße,StZe,gut,1,0,1,1,1
Altlandsberger Platz,MaHe,mittel,1,0,1,1,1
Altmarkstraße,StZe,gut,26,26,26,26,26
Altmarkstraße,StZe,gut *,2,2,2,2,2
Altonaer Straße,MaHe,einfach,1,0,1,1,1
Altonaer Straße,Mitt,gut,2,2,2,2,2
Altonaer Straße,Mitt,gut *,27,27,27,27,27
Altonaer Straße,Mitt,mittel *,10,10,10,10,10
Altonaer Straße,Span,einfach,188,188,188,188,188
Altonaer Straße,Span,einfach *,8,8,8,8,8
Altrader Weg,Neuk,einfach,1,0,1,1,0
Altstädter Ring,Span,einfach *,8,8,8,8,8
Altstädter Ring,Span,mittel *,1,1,1,1,1
Altvaterstraße,StZe,gut,13,13,13,13,13
Altvaterstraße,StZe,gut *,26,26,26,26,26
Alvenslebenstraße (Lirad),TSch,mittel,34,34,34,34,34
Alvenslebenstraße (Schön),TSch,einfach,22,22,22,22,22
Alvenslebenstraße (Schön),TSch,einfach *,5,5,5,5,5
Alwineweg,MaHe,einfach,1,0,1,1,1
Alzeyweg,Lich,mittel,1,0,1,1,1
Am Adlergestell,TrKö,mittel,3,3,3,3,3
Am Adlergestell,TrKö,mittel *,1,1,1,1,1
Am Ahornweg,Lich,einfach,1,0,1,1,1
Am Akazienweg,Lich,einfach,1,0,1,1,1
Am Alten Fenn,TrKö,mittel,1,0,1,1,1
Am Alten Friedhof,TrKö,einfach,1,0,1,1,1
Am Amtsgraben,TrKö,mittel,1,0,1,1,1
Am Anger,StZe,gut,18,18,18,18,18
Am Anger,StZe,gut *,2,2,2,2,2
Am Appelhorst,Neuk,einfach,1,0,1,1,0
Am Ausblick,Rein,gut,1,0,1,1,1
Am Carlsgarten,Lich,gut,10,10,10,10,10
Am Carlsgarten,Lich,gut *,6,6,6,6,6
Am Carolinenhof,Span,mittel,1,0,1,1,1
Am Comeniusplatz,FrKr,mittel,1,0,1,1,1
Am Dachsbau,Rein,mittel,226,226,226,226,226
Am Dachsbau,Rein,mittel *,7,7,7,7,7
Am Damm,TrKö,gut,4,4,4,4,4
Am Damm,TrKö,gut *,34,34,34,34,34
Am Danewend,Pank,mittel,30,30,30,30,30
Am Danewend,Pank,mittel *,10,10,10,10,10
