,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²
10,"Hochwertiges DG im gepflegten Altbau! **Besichtigung: Mi., 29.01. / 18:30 Uhr**",https://www.immobilienscout24.de/expose/115172918,1785.0,320.0,0.0,2105.0,5355.00,5 von 5,119.0,4,2.0,1.0,True,True,1905.0,2011.0,Vollständig renoviert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,SchönLife Immobilien Wielandstraße 12 10629 Berlin,"Cauerstrasse 25, 10587 Berlin, Charlottenburg (Charlottenburg)",Cauerstrasse,10587 Berlin,Charlottenburg (Charlottenburg),25,Charlottenburg,15.0
11,4 Zimmer am Alex,https://www.immobilienscout24.de/expose/97546389,1726.08,300.0,0.0,2156.08,5178.24,2 von 7,119.04,4,3.0,2.0,True,True,2017.0,,Neuwertig,Fernwärme,,liegt vor,Bedarfsausweis,,B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde,"Berolinastr. 7c, 10178 Berlin, Mitte (Mitte)",Berolinastr.,10178 Berlin,Mitte (Mitte),7,Mitte,14.499999999999998
12,2 zi-whg in der böckhstrasse im sfl 1.OG nähe planufer u. admiralsbrücke,https://www.immobilienscout24.de/expose/115638816,1050.0,170.0,0.0,1220.0,3150.00,1 von 4,60.42,2,1.0,1.0,,True,1910.0,,Gepflegt,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,125.3,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10967 Berlin,Kreuzberg (Kreuzberg),,Kreuzberg,17.37835153922542
13,sehr schöne 3 zi.-whg mit 2 terrassen EBK 2 bäder aufzug u. TG,https://www.immobilienscout24.de/expose/115637279,1760.0,311.9,0.0,2071.9,6215.70,2 von 5,107.33,3,2.0,2.0,True,True,2016.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10585 Berlin,Charlottenburg (Charlottenburg),,Charlottenburg,16.398024783378364
14,4 zi-whg mit garten-terrasse EBK aufzug TG concierge gg berliner dom,https://www.immobilienscout24.de/expose/115633259,2194.94,637.6,0.0,2832.54,6584.82,1 von 8,159.4,4,2.0,1.0,True,True,2004.0,2018.0,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10178 Berlin,Mitte (Mitte),,Mitte,13.770012547051444
15,1 zi-whg gipsstrasse ecke rosenththaler mit aufzug und EBK,https://www.immobilienscout24.de/expose/115530045,1375.0,200.0,0.0,1575.0,4125.00,4 von 7,55.0,1,1.0,1.0,True,True,1997.0,,Neuwertig,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10119 Berlin,Mitte (Mitte),,Mitte,25.0
16,Waterside Living Berlin - Unvergleichbare 4 Zimmerwohnung an der Spree,https://www.immobilienscout24.de/expose/114508954,2650.0,350.0,,3000.0,4125.00,2,131.0,4,,,True,True,2019.0,,Erstbezug,,,,,,PRIMUS Immobilien AG | Vermietungsservice,"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10245 Berlin,Friedrichshain (Friedrichshain),,Friedrichshain,20.229007633587788
17,400€ Monatasmiete! Alle Kosten außer Strom!,https://www.immobilienscout24.de/expose/67077633,400.0,60.0,0.0,500.0,975,1 von 4,23.0,1,,,True,,2012.0,2017.0,Vollständig renoviert,Zentralheizung,Fernwärme-Dampf,liegt vor,Verbrauchsausweis,,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12459 Berlin,Oberschöneweide (Köpenick),,Oberschöneweide,17.391304347826086
18,Im neuen Jahr in die neue Wohnung,https://www.immobilienscout24.de/expose/114977577,470.0,120.0,0.0,590.0,2000,2 von 5,31.0,1,1.0,1.0,True,True,2019.0,,Erstbezug,Fernwärme,,liegt zur Besichtigung vor,,,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"Groß-Berliner Damm 1, 12487 Berlin, Johannisthal (Treptow)",Groß-Berliner Damm,12487 Berlin,Johannisthal (Treptow),1,Johannisthal,15.161290322580646
19,Sofort bezugsfertig: Tolle 2-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/109894326,799.32,194.03,0.0,993.35,2397.96,2 von 4,66.61,2,1.0,1.0,,,,,Erstbezug,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)",Am Hohen Feld,13125 Berlin,Karow (Weißensee),125,Karow,12.0
20,Wunderschöne Maisonette Wohnung in klassischer Stadtvilla sucht ruhige Mieter!,https://www.immobilienscout24.de/expose/115505355,1890.0,335.0,0.0,2225.0,3 Nettokaltmieten,2 von 3,145.0,4,3.0,2.0,,True,,,Erstbezug nach Sanierung,,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,Dahlem (Zehlendorf),,Dahlem,13.03448275862069
21,Praktische Familienwohnung mit Laminat - in Hellersdorf!,https://www.immobilienscout24.de/expose/114889465,639.0,178.0,0.0,817.0,Kaution: 1917.00,3,68.54,3,,,True,,1985.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Kastanienallee 86, 12627 Berlin, Hellersdorf (Hellersdorf)",Kastanienallee,12627 Berlin,Hellersdorf (Hellersdorf),86,Hellersdorf,9.323023052232273
22,"3-Zimmer-Wohnung mit Balkon, Wannenbad und Gäste-WC",https://www.immobilienscout24.de/expose/114185817,1581.3,269.92,91.4,1942.62,474390,3 von 5,112.95,3,2.0,2.0,True,True,2007.0,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Paula-Fürst-Str. 4, 10317 Berlin, Rummelsburg (Lichtenberg)",Paula-Fürst-Str.,10317 Berlin,Rummelsburg (Lichtenberg),4,Rummelsburg,14.0
23,Click.Book.Live: Vollmöbliertes Single-Studio für Studenten,https://www.immobilienscout24.de/expose/115320929,538.0,177.0,0.0,715.0,1614,,19.0,1,1.0,1.0,True,True,2014.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,International Campus GmbH Blumenstraße 28 80331 München,"Köpenicker Straße 43, 10179 Berlin, Mitte (Mitte)",Köpenicker Straße,10179 Berlin,Mitte (Mitte),43,Mitte,28.31578947368421
24,**Citywohnung in schöner Lage**,https://www.immobilienscout24.de/expose/110241561,1387.36,228.79,95.68,1710.1,3 Momatsmieten,4 von 8,95.68,2,1.0,1.0,True,True,1992.0,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,Thelen Immobilien Management GmbH Alfredstr. 150 45131 Essen,"Meinekestraße 21, 10719 Berlin, Charlottenburg (Charlottenburg)",Meinekestraße,10719 Berlin,Charlottenburg (Charlottenburg),21,Charlottenburg,14.499999999999998
25,Neukölln - Charmante 1Zimmerwohnung - neu Saniertes - Laminat - ca. 35 m² - 588 warm,https://www.immobilienscout24.de/expose/115612167,491.0,97.0,0.0,588.0,3 x Nettokaltmiete,1,34.42,1,,,,,1956.0,,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,159.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Harzerstr. 82, 12059 Berlin, Neukölln (Neukölln)",Harzerstr.,12059 Berlin,Neukölln (Neukölln),82,Neukölln,14.264962231260894
26,Traumhafte Lage am Ufer der Dahme,https://www.immobilienscout24.de/expose/115609106,732.15,250.0,0.0,1027.15,2196.45 Euro (Ratenzahlung möglich),3,79.05,3,,1.0,True,,1998.0,,Saniert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH Winckelmannstraße 3-5 12487 Berlin,"Grünauer Straße 119B, 12557 Berlin, Köpenick (Köpenick)",Grünauer Straße,12557 Berlin,Köpenick (Köpenick),119,Köpenick,9.261859582542694
27,"Pankow! Gemütliche 3,5 Zimmerwohnung an der Schönholzer Heide - Laminat - Balkon - Eckbadewanne",https://www.immobilienscout24.de/expose/75171304,950.0,226.0,0.0,1176.0,3 x Nettokaltmiete,3,97.0,"3,5",,,,,1900.0,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,140.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Straße vor Schönholz 26, 13158 Berlin, Niederschönhausen (Pankow)",Straße vor Schönholz,13158 Berlin,Niederschönhausen (Pankow),26,Niederschönhausen,9.793814432989691
28,Maisonette- Wohnung mit 56 qm Wohnraum und 35 qm Hobbyraum,https://www.immobilienscout24.de/expose/115376573,889.0,410.0,0.0,1299.0,Kaution: 2667.00,0,91.0,"3,5",,,,True,1994.0,,Vollständig renoviert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Ruppiner Chaussee 297, 13503 Berlin, Heiligensee (Reinickendorf)",Ruppiner Chaussee,13503 Berlin,Heiligensee (Reinickendorf),297,Heiligensee,9.76923076923077
29,"große, helle Wohneinheit in Stadtvilla in Wald und Wassernähe",https://www.immobilienscout24.de/expose/43752088,955.28,169.0,115.0,1239.28,3 Nettokaltmieten,1 von 2,116.7,4,,,,True,1995.0,,Vollständig renoviert,Zentralheizung,,liegt vor,Verbrauchsausweis,102.0,Panita GmbH Möllhausenufer 16 12557 Berlin,"Müggelbergallee 5, 12557 Berlin, Köpenick (Köpenick)",Müggelbergallee,12557 Berlin,Köpenick (Köpenick),5,Köpenick,8.185775492716367
30,Vollmöbliert - Tolle 55 qm Wohnung mit Balkon im Herzen von Tempelhof,https://www.immobilienscout24.de/expose/115513626,1450.0,0.0,0.0,1450.0,2 Monatsmieten,1 von 4,55.0,2,1.0,1.0,True,True,1973.0,2020.0,Vollständig renoviert,Zentralheizung,Gas,liegt zur Besichtigung vor,,,immOperation Biliza & Streller GbR Hausburgstr. 6 10249 Berlin,"Friedrich-Wilhelm-Str. 29, 12103 Berlin, Tempelhof (Tempelhof)",Friedrich-Wilhelm-Str.,12103 Berlin,Tempelhof (Tempelhof),29,Tempelhof,26.363636363636363
31,Luxus Wohnung in Top-Lage am Ku-Damm!,https://www.immobilienscout24.de/expose/114849096,2555.43,530.0,98.21,3183.64,766629,6,115.84,"2,5",1.0,1.0,True,True,2012.0,,Neuwertig,Fernwärme,,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Lietzenburger Str. 101, 10707 Berlin, Wilmersdorf (Wilmersdorf)",Lietzenburger Str.,10707 Berlin,Wilmersdorf (Wilmersdorf),101,Wilmersdorf,22.059996546961322
32,"Neu! Erstbezug in Berlin-Staaken! Tolle Wohnungen mit hochw.Ausstattung in Grünlage! 2x Bad,Terrasse",https://www.immobilienscout24.de/expose/115436445,990.0,280.0,0.0,1270.0,766629,1 von 3,95.0,3,2.0,2.0,,True,1935.0,2019.0,Erstbezug nach Sanierung,,,laut Gesetz nicht erforderlich,,,Forum Immobilien Lindenstr. 5 16548 Glienicke,"Metropolitan Park 52, 13591 Berlin, Staaken (Spandau)",Metropolitan Park,13591 Berlin,Staaken (Spandau),52,Staaken,10.421052631578947
33,Beeindruckende 3-Zimmer-Wohnung mit 2 Bädern,https://www.immobilienscout24.de/expose/115374427,2001.02,213.32,83.3,2297.64,600306,3 von 6,132.87,3,2.0,2.0,True,True,2009.0,,Gepflegt,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Seydelstr. 21, 10117 Berlin, Mitte (Mitte)",Seydelstr.,10117 Berlin,Mitte (Mitte),21,Mitte,15.059983442462556
34,Familienwohnung mit Flair sucht Nachfolger mit Style!,https://www.immobilienscout24.de/expose/113873973,899.0,243.0,0.0,1142.0,Kaution: 2697.00,1,88.68,4,,,,,1999.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Janusz-Korczak-Str. 15, 12627 Berlin, Hellersdorf (Hellersdorf)",Janusz-Korczak-Str.,12627 Berlin,Hellersdorf (Hellersdorf),15,Hellersdorf,10.137573297248533
35,Lichtdurchflutete 3 Zimmerwohnung mit Südbalkon,https://www.immobilienscout24.de/expose/115374428,1516.62,196.75,61.92,1775.29,454986,1 von 5,108.33,3,2.0,1.0,True,True,2009.0,,Gepflegt,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Galenusstr. 63 B, 13187 Berlin, Pankow (Pankow)",Galenusstr.,13187 Berlin,Pankow (Pankow),63,Pankow,14.0
36,Helle Wohnung mit Laminat und Aufzug!,https://www.immobilienscout24.de/expose/115245134,569.0,140.0,0.0,709.0,Kaution: 1707.00,1,53.98,2,,,True,,1985.0,,Modernisiert,Zentralheizung,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Stendaler Str. 65, 12627 Berlin, Hellersdorf (Hellersdorf)",Stendaler Str.,12627 Berlin,Hellersdorf (Hellersdorf),65,Hellersdorf,10.540941089292332
37,"*NUR MIT WBS*Große, barrierefreie Pärchenwohnung mit EBK und Dusche!",https://www.immobilienscout24.de/expose/115282292,499.0,211.0,0.0,710.0,Kaution: 1497.00,2,72.78,2,,,True,True,1999.0,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Janusz-Korczak-Str. 9a, 12627 Berlin, Hellersdorf (Hellersdorf)",Janusz-Korczak-Str.,12627 Berlin,Hellersdorf (Hellersdorf),9,Hellersdorf,6.856279197581753
38,Dachgeschosswohnung mit Loft Charm in Tempelhof *Erstbezug nach Sanierung*,https://www.immobilienscout24.de/expose/115289452,1066.0,145.0,90.0,1301.0,Kaution: 1497.00,,82.0,2,1.0,1.0,,,,2020.0,Erstbezug nach Sanierung,,,liegt zur Besichtigung vor,,,Artur Caesar Behrendt Immobilien Hohenzollerndamm 169 10713 Berlin,"Friedrich-Karl-Straße 20 A, 12103 Berlin, Tempelhof (Tempelhof)",Friedrich-Karl-Straße,12103 Berlin,Tempelhof (Tempelhof),20,Tempelhof,13.0
39,Hochwertiges City-Apartment mit Blick über Berlin!,https://www.immobilienscout24.de/expose/115506498,1850.0,560.0,0.0,2410.0,5550.00,12 von 12,91.0,"3,5",2.0,2.0,True,True,2000.0,,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Potsdamer Straße 4, 10785 Berlin, Tiergarten (Tiergarten)",Potsdamer Straße,10785 Berlin,Tiergarten (Tiergarten),4,Tiergarten,20.32967032967033
40,FÜNF MORGEN: Traumwohnung: Großzügige 2-Zimmer-Loftwohnung mit sonniger Dachterrasse,https://www.immobilienscout24.de/expose/109788587,1436.04,190.6,0.0,1626.64,5550.00,4 von 4,76.24,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,Dahlem (Zehlendorf),,Dahlem,18.835781741867788
41,Luxuriös möbliertes Penthouse mit Weitblick!,https://www.immobilienscout24.de/expose/115583569,1660.0,440.0,0.0,2100.0,4980.00,,75.0,2,1.0,1.0,True,True,2014.0,2018.0,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"10551 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10551 Berlin,Tiergarten (Tiergarten),,Tiergarten,22.133333333333333
42,Möbliert Wohnen nahe Viktoria-Luise-Platz!,https://www.immobilienscout24.de/expose/115530553,1700.0,250.0,0.0,1950.0,4980.00,5 von 5,91.0,3,2.0,1.0,,True,1910.0,2012.0,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Ansbacher Straße 76, 10777 Berlin, Schöneberg (Schöneberg)",Ansbacher Straße,10777 Berlin,Schöneberg (Schöneberg),76,Schöneberg,18.681318681318682
43,Stilvolle Single-Wohnung über den Dächern Berlins!,https://www.immobilienscout24.de/expose/115563037,1180.0,70.0,,1250.0,3540.00,5 von 5,62.0,1,,1.0,,True,1890.0,,Neuwertig,Fußbodenheizung,Gas,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10317 Berlin,Lichtenberg (Lichtenberg),,Lichtenberg,19.032258064516128
44,FÜNF MORGEN: Weitläufige Dachgeschosswohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/110018279,1573.9,207.58,0.0,1781.48,3540.00,3 von 3,83.03,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,Dahlem (Zehlendorf),,Dahlem,18.955799108755873
45,"FÜNF MORGEN: Sonnige Studio-Wohnung mit 1,5-Zimmern und Loggia",https://www.immobilienscout24.de/expose/112097510,1006.75,158.28,0.0,1165.02,3540.00,2 von 4,63.31,"1,5",,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,Dahlem (Zehlendorf),,Dahlem,15.901911230453324
46,FÜNF MORGEN: Moderne 2-Zimmer-Loftwohnung mit Loggia im Neubau,https://www.immobilienscout24.de/expose/112097631,1043.31,154.93,0.0,1198.23,3540.00,2 von 4,61.97,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,Dahlem (Zehlendorf),,Dahlem,16.83572696466032
47,"FÜNF MORGEN: Großzügige 1,5-Zimmer-Loftwohnung mit Loggia in Bestlage",https://www.immobilienscout24.de/expose/112097595,1068.62,158.28,0.0,1226.89,3540.00,2 von 4,63.31,"1,5",,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,Dahlem (Zehlendorf),,Dahlem,16.879166008529456
48,schöne remise höhe kastanienallee mit 2 terrassen 1 großer kamin u. EBK,https://www.immobilienscout24.de/expose/115337124,2498.0,434.17,0.0,2932.17,7494.00,,135.68,2,1.0,1.0,,True,1918.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,,Verbrauchsausweis,120.8,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,Prenzlauer Berg (Prenzlauer Berg),,Prenzlauer Berg,18.410966981132074
