Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Typ,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Badezimmer,Balkon/ Terrasse,Personenaufzug,Wohnberechtigungsschein erforderlich,Baujahr,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Anbieter,Adreese
Modernisierte Dachgeschoss Wohnung mit Einbauküche und Terrasse,https://www.immobilienscout24.de/expose/115612038,"1.394,51 €",136 €,"104,49 €",1.635 €,4183.53,Dachgeschoss,6 von 6,"78,47 m²",sofort,3,,True,True,,1959,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Weinbergsweg 11, 10119 Berlin, Mitte (Mitte)"
*Erstbezug* 2 Zi-Wohnung mit EBK & Balkon in Tempelhof-Schöneberg,https://www.immobilienscout24.de/expose/115620610,1.248 €,158 €,0 €,1.406 €,3744,Etagenwohnung,0 von 4,63 m²,15.01.2020,2,1,True,True,,2019,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Malteserstraße 148, 12277 Berlin, Marienfelde (Tempelhof)"
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614037,810 €,50 €,in Nebenkosten enthalten,860 €,EUR 1720.00,Etagenwohnung,5,12 m²,01.04.2020,1,,,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 59a, 10115 Berlin, Mitte (Mitte)"
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614036,810 €,50 €,in Nebenkosten enthalten,860 €,EUR 1720.00,Etagenwohnung,1,16 m²,01.04.2020,1,,True,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 58, 10115 Berlin, Mitte (Mitte)"
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614045,890 €,50 €,in Nebenkosten enthalten,940 €,EUR 1880.00,Etagenwohnung,5,17 m²,01.04.2020,1,,True,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 59a, 10115 Berlin, Mitte (Mitte)"
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614043,780 €,50 €,in Nebenkosten enthalten,830 €,EUR 1660.00,Etagenwohnung,1,14 m²,01.04.2020,1,,True,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 58, 10115 Berlin, Mitte (Mitte)"
Modern apartment close to central station in a popular and trendy neighborhood,https://www.immobilienscout24.de/expose/115614535,610 €,50 €,in Nebenkosten enthalten,660 €,EUR 1320.00,Etagenwohnung,5,8 m²,01.04.2020,1,,,,,,Zentralheizung,,,,homefully GmbH,"Klara Franke Straße 12, 10557 Berlin, Tiergarten (Tiergarten)"
Gemütliche 2-Zimmer Wohnung nahe der Köllnischen Heide zu vermieten!,https://www.immobilienscout24.de/expose/115615939,"415,80 €",130 €,50 €,"595,80 €",Drei Nettokaltmieten,Etagenwohnung,3 von 18,51 m²,sofort,2,1,True,True,,1973,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Dieselstr. 15, 12057 Berlin, Neukölln (Neukölln)"
Sonnige 3 Zimmer Dachgeschosswohnung in Zehlendorf mit Balkon u. Einbauküche sucht Nachmieter,https://www.immobilienscout24.de/expose/115615149,1.086 €,141 €,94 €,1.321 €,3252,Dachgeschoss,2 von 2,94 m²,nach Vereinbarung,3,,True,,,unbekannt,Zentralheizung,,,Verbrauchsausweis,CAPERA Immobilien Service GmbH Kurfürstendamm 71 10709 Berlin,"Lindenthaler Allee 78, 14163 Berlin, Zehlendorf (Zehlendorf)"
Industriealtbau an der Spree mit Parkplatz,https://www.immobilienscout24.de/expose/115616501,"1.863,11 €","321,23 €",in Nebenkosten enthalten,"2.234,33 €",3 Kaltmieten,Maisonette,2 von 4,128 m²,Februar 2020,4,1,True,True,,1870,Fernwärme,,laut Gesetz nicht erforderlich,,KI Köpenicker Immobiliengesellschaft mbH Lindenstrasse 32 12555 Berlin,"Ottomar Geschke Strasse 20, 12555 Berlin, Köpenick (Köpenick)"
Helle 3-Zimmerwohnung zu vermieten!,https://www.immobilienscout24.de/expose/115617113,"561,79 €",180 €,80 €,"821,79 €",3 Nettokaltmieten,Etagenwohnung,8 von 18,71 m²,sofort,3,1,True,True,,1974,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Dieselstraße 21, 12057 Berlin, Neukölln (Neukölln)"
Schöne Wohnung sucht SIE als neuen Mieter,https://www.immobilienscout24.de/expose/115617780,784 €,90 €,inkl. 31 €,905 €,3 Nettokaltmieten,Etagenwohnung,,49 m²,nach Vereinbarung,"1,5",,,,,1887,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,berlinraum Schönhauser Allee 126 10437 Berlin,"Handjerystraße 17, 12159 Berlin, Friedenau (Schöneberg)"
"Singles aufgepasst! Komfortable 1,5-Zimmer Wohnung nahe der Köllnischen Heide zu vermieten!",https://www.immobilienscout24.de/expose/115616824,"417,44 €",130 €,50 €,"597,44 €",Drei Nettokaltmieten,Etagenwohnung,8 von 12,51 m²,Sofort,"1,5",1,True,True,,1973,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Dieselstr. 5, 12057 Berlin, Neukölln (Neukölln)"
"sehr geräumige 2,5-Zimmer-Wohnung in Moabit",https://www.immobilienscout24.de/expose/115617900,"559,48 €",140 €,nicht in Nebenkosten enthalten,"699,48 € (zzgl. Heizkosten)",3 Nettokaltmieten,Etagenwohnung,3,"80,35 m²",sofort,"2,5",,True,,,1900,Gas-Heizung,Erdgas leicht,liegt vor,Bedarfsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Emdener Straße 29, 10551 Berlin, Tiergarten (Tiergarten)"
Große 2-Zimmer Wohnung sucht Familie zum einziehen!,https://www.immobilienscout24.de/expose/115618394,"623,21 €",120 €,70 €,"813,21 €",3 x Nettokaltmiete,Dachgeschoss,5 von 5,78 m²,sofort,2,1,True,,,1900,Zentralheizung,Erdgas schwer,liegt zur Besichtigung vor,,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Selchower Straße 29, 12049 Berlin, Neukölln (Neukölln)"
Vollmöbilierte 2-Zimmer Wohnung Friedrichshain-Kreuzberg an der Spree,https://www.immobilienscout24.de/expose/115620542,1.644 €,218 €,0 €,1.862 €,4932,Etagenwohnung,0 von 2,"72,64 m²",14.01.2020,2,2,,,,,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Alt-Stralau 5, 10245 Berlin, Friedrichshain (Friedrichshain)"
Schöne 2-Zimmer Wohnung in Prenzlauer Berg zu vermieten!,https://www.immobilienscout24.de/expose/115619079,"451,23 €",110 €,60 €,"621,23 €",Drei Nettokaltmieten,Etagenwohnung,4 von 4,56 m²,sofort,2,1,,,,1900,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Landsberger Allee 93, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Brandneue 2-Zimmer-Wohnung mit Einbauküche in Lichtenhain,https://www.immobilienscout24.de/expose/115620562,1.341 €,158 €,inkl. 0 €,1.499 €,4023,Etagenwohnung,2 von 5,"54,61 m²",1.10.2020,2,1,True,True,,2019,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Lückstraße 27, 10317 Berlin, Lichtenberg (Lichtenberg)"
*Erstbezug* 3-Zimmer Wohnung mit EBK und Balkon in Mitte - Blick auf dem Alexander Türm,https://www.immobilienscout24.de/expose/115620572,1.962 €,"307,20 €",0 €,"2.269,20 €",5886,Etagenwohnung,5 von 5,"76,6 m²",Ab Sofort,3,2,True,True,,2019,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Stallschreiber Straße 30, 10969 Berlin, Mitte (Mitte)"
Wunderschönes 4.5-Zimmer-Neubau-Penthouse mit große Terrasse und EBK,https://www.immobilienscout24.de/expose/115620585,2.223 €,346 €,inkl. 0 €,2.569 €,6669,Etagenwohnung,5 von 5,"142,24 m²",01.06.2020,"4,5",2,True,True,,2020,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Blankenburger Str. 20, 13156 Berlin, Niederschönhausen (Pankow)"
*Erstbezug* möblierte Maisonette mit Balkon in Tempelhof-Schöneberg,https://www.immobilienscout24.de/expose/115620598,1.099 €,200 €,inkl. 0 €,1.299 €,3297,Etagenwohnung,0 von 4,60 m²,01.01.2020,2,1,True,True,,2019,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Malteserstraße 148, 12277 Berlin, Marienfelde (Tempelhof)"
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614031,910 €,50 €,in Nebenkosten enthalten,960 €,EUR 1920.00,Etagenwohnung,5,20 m²,01.04.2020,1,,,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 59a, 10115 Berlin, Mitte (Mitte)"
"Industrieloft mit Terrasse, Garten und Parkplatz an der Spree",https://www.immobilienscout24.de/expose/115509699,"1.484,70 €",265 €,in Nebenkosten enthalten,"1.802,33 €",3 Kaltmieten,Maisonette,1 von 4,106 m²,Februar 2020,4,1,True,True,,1870,Fernwärme,,laut Gesetz nicht erforderlich,,KI Köpenicker Immobiliengesellschaft mbH Lindenstrasse 32 12555 Berlin,"Ottomar Geschke Strasse 20, 12555 Berlin, Köpenick (Köpenick)"
Ab sofort und barrierefrei! Ruhige 2 Zi Whg mit Terrasse und EBK!,https://www.immobilienscout24.de/expose/115510993,1.120 €,155 €,in Nebenkosten enthalten,1.275 €,3.360,Erdgeschosswohnung,,"65,41 m²",27.01.2020,2,1,,True,,2019,Fernwärme,,,,Eichenglobal GmbH Charlottenstraße 18 10117 Berlin,"Im Lichtenhain 2, 10317 Berlin, Lichtenberg (Lichtenberg)"
Wundervolle 2-Zimmer Wohnung im schönen Steglitz sucht Pärchen zum einziehen!,https://www.immobilienscout24.de/expose/115509962,"593,83 €",110 €,nicht in Nebenkosten enthalten,"703,83 € (zzgl. Heizkosten)",3 x Nettokaltmiete,Etagenwohnung,0,54 m²,sofort,2,1,True,,,1956,Etagenheizung,Erdgas schwer,liegt vor,Bedarfsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Steglitzer Damm 44, 12169 Berlin, Steglitz (Steglitz)"
Verfügbar ab 01.03.2020: 3-Zimmer-Wohnung mit Loggia und Balkon,https://www.immobilienscout24.de/expose/115511078,1.060 €,250 €,in Nebenkosten enthalten,1.310 €,3180,Etagenwohnung,2 von 4,"82,66 m²",01.03.2020,3,1,True,True,,2019,Fußbodenheizung,,liegt vor,Bedarfsausweis,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 76, 13127 Berlin, Französisch Buchholz (Pankow)"
Traumhaftes Dachgeschoss - Wohngefühl für Anspruchsvolle,https://www.immobilienscout24.de/expose/115513813,1.265 €,270 €,in Nebenkosten enthalten,1.535 €,3795,Dachgeschoss,,115 m²,,3,1,True,,,1992,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,von Poll Immobilien - Ulf Sobeck Florastraße 1 13187 Berlin,"13129 Berlin, Blankenburg (Weißensee) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Modern apartment close to central station in a popular and trendy neighborhood,https://www.immobilienscout24.de/expose/115517070,780 €,50 €,in Nebenkosten enthalten,830 €,EUR 1660.00,Etagenwohnung,5,17 m²,01.05.2020,1,,True,,,,Zentralheizung,,,,homefully GmbH,"Klara Franke Straße 8, 10557 Berlin, Tiergarten (Tiergarten)"
"Topsanierte, lichtdurchflutete Wohnung mit Gartenanteil",https://www.immobilienscout24.de/expose/115540079,"912,65 €",160 €,150 €,"1.222,65 €","3737,95",Etagenwohnung,0 von 2,"75,94 m²",01.04.2020,3,1,True,True,,1930,Fußbodenheizung,KWK regenerativ,liegt vor,Bedarfsausweis,Oliver Schick Immobilienagentur,"Heinickeweg 13, 13627 Berlin, Charlottenburg (Charlottenburg)"
"""NEU"" 1,5-Zimmer-Wohnung nahe U-Bahnhof Seestraße",https://www.immobilienscout24.de/expose/115560573,620 €,109 €,47 €,776 €,"1.860,00 EUR",Etagenwohnung,5,"42,77 m²",nach Vereinbarung,"1,5",1,,,,1995,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Müllerstraße 122c, 13349 Berlin, Wedding (Wedding)"
Erstbezug in Adlershof - für Freischaffende,https://www.immobilienscout24.de/expose/115608458,698 €,174 €,in Nebenkosten enthalten,872 €,3 Nettokaltmieten,Dachgeschoss,2 von 2,58 m²,sofort,2,,,,,1900,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,KOMMINKIEZ - Niclas Boettcher Immobilien Heideweg 13a 14532 Kleinmachnow,"Friedenstr. 8, 12489 Berlin, Adlershof (Treptow)"
Luxuseinrichtung - 3 Zimmerwohnung in Berlin-Charlottenburg,https://www.immobilienscout24.de/expose/115515139,2.350 €,150 €,150 €,2.650 €,,Etagenwohnung,1 von 5,104 m²,sofort,3,2,True,True,,2015,Fußbodenheizung,Fernwärme,liegt zur Besichtigung vor,,Marioth Immobilien Lange Str. 7 12209 Berlin,"Württembergische Straße 45, 10707 Berlin, Wilmersdorf (Wilmersdorf)"
hochwertiger Neubau mit Wasserblick und einer Gemeinschaftsdachterrasse,https://www.immobilienscout24.de/expose/115511927,2.575 €,350 €,in Nebenkosten enthalten,2.925 €,3 Nettokaltmieten,Etagenwohnung,2 von 6,103 m²,,3,1,True,True,,2019,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,DAHLER & COMPANY Berlin GmbH & Co. KG Kurfürstendamm 196 10707 Berlin,"10245 Berlin / Friedrichshain, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug: Platz für Freischaffende in Adlershof,https://www.immobilienscout24.de/expose/115608468,998 €,262 €,in Nebenkosten enthalten,1.260 €,3 Nettokaltmieten,Dachgeschoss,2 von 2,87 m²,sofort,4,,,,,1900,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,KOMMINKIEZ - Niclas Boettcher Immobilien Heideweg 13a 14532 Kleinmachnow,"Friedenstr. 8, 12489 Berlin, Adlershof (Treptow)"
Urbaner Flair in der ehemaligen Telegraphenfabrik!,https://www.immobilienscout24.de/expose/115609935,2.550 €,400 €,in Nebenkosten enthalten,2.950 €,"7.650,00 EUR",Sonstige,,161 m²,sofort,"2,5",1,True,True,,1920,Zentralheizung,,liegt vor,Verbrauchsausweis,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"Paul-Lincke-Ufer 8c, 10999 Berlin, Kreuzberg (Kreuzberg)"
Industrieloft ! Balkon mit Wasserblick inkl. Stellplatz,https://www.immobilienscout24.de/expose/115610953,"1.330,42 €","255,85 €",in Nebenkosten enthalten,"1.636,27 €",3 Kaltmieten,Maisonette,3 von 4,102 m²,März 2020,3,1,True,True,,1870,Fernwärme,,laut Gesetz nicht erforderlich,,KI Köpenicker Immobiliengesellschaft mbH Lindenstrasse 32 12555 Berlin,"Ottomar Geschke Strasse 20, 12555 Berlin, Köpenick (Köpenick)"
Industrieloft mit Terrasse und Parkplatz an der Spree,https://www.immobilienscout24.de/expose/115611162,"1.273,05 €","235,75 €",in Nebenkosten enthalten,"1.558,80 €",3 Kaltmieten,Maisonette,1 von 4,94 m²,Februar 2020,3,1,True,True,,1870,Fernwärme,,laut Gesetz nicht erforderlich,,KI Köpenicker Immobiliengesellschaft mbH Lindenstrasse 32 12555 Berlin,"Ottomar Geschke Strasse 22, 12555 Berlin, Köpenick (Köpenick)"
"Helle vier Zimmer Wohnung, Erstbezug nach Dachgeschossausbau",https://www.immobilienscout24.de/expose/115611690,2.698 €,400 €,in Nebenkosten enthalten,3.098 €,8607,,5 von 5,"147,25 m²",sofort,4,2,True,True,,1900,Fußbodenheizung,,,,Fortica Real Estate GmbH,"10717 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug mit EBK und Balkon: schöne ruhige 4-Zimmer Wohnung in Wilmersdorf,https://www.immobilienscout24.de/expose/115612865,2.396 €,356 €,in Nebenkosten enthalten,2.752 €,7575,,5 von 5,"129,53 m²",sofort,4,2,True,True,,1900,Fußbodenheizung,,liegt zur Besichtigung vor,,Fortica Real Estate GmbH,"10717 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614026,740 €,50 €,in Nebenkosten enthalten,790 €,EUR 1580.00,Etagenwohnung,1,12 m²,01.04.2020,1,,,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 58, 10115 Berlin, Mitte (Mitte)"
Living in Berlin's most trendy and charming quarter,https://www.immobilienscout24.de/expose/115614030,740 €,50 €,in Nebenkosten enthalten,790 €,EUR 1580.00,Etagenwohnung,1,12 m²,01.04.2020,1,,,,,,Zentralheizung,,,,homefully GmbH,"Chausseestraße 58, 10115 Berlin, Mitte (Mitte)"
Gemütliche 3-Zimmer Wohnung nahe der Köllnischen Heide zu vermieten!,https://www.immobilienscout24.de/expose/115397371,"596,58 €",180 €,80 €,"856,58 €",Drei Nettokaltmieten,Etagenwohnung,5 von 18,75 m²,sofort,3,1,True,True,,1973,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Dieselstr. 15, 12057 Berlin, Neukölln (Neukölln)"
Gemütliche 2-Zimmer Wohnung sucht neue Mieter!,https://www.immobilienscout24.de/expose/115397437,"311,63 €",125 €,45 €,"481,63 €",Drei Nettokaltmieten,Etagenwohnung,12,48 m²,sofort,2,1,True,True,,1971,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Sonnenallee 277, 12057 Berlin, Neukölln (Neukölln)"
Familien aufgepasst! 3-Zimmer Wohnung nahe der Köllnischen Heide zu vermieten!,https://www.immobilienscout24.de/expose/115397403,"607,53 €",180 €,80 €,"867,53 €",Drei Nettokaltmieten,Etagenwohnung,7 von 14,76 m²,sofort,3,1,True,True,,1973,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Dieselstr. 9, 12057 Berlin, Neukölln (Neukölln)"
"Geräumige 2,5 Zimmer Wohnung an der Sonnenallee!",https://www.immobilienscout24.de/expose/115397465,"465,46 €",170 €,70 €,"705,46 €",Drei Nettokaltmieten,Etagenwohnung,15,68 m²,sofort,"2,5",1,True,True,,1971,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Sonnenallee 279, 12057 Berlin, Neukölln (Neukölln)"
Traumhafte Wohnung mit Terrasse und Park in luftiger Höhe,https://www.immobilienscout24.de/expose/115399417,2.100 €,320 €,in Nebenkosten enthalten,2.420 €,"6300,00",Etagenwohnung,4 von 4,105 m²,sofort,3,1,True,True,,2018,Fußbodenheizung,Gas,liegt vor,Bedarfsausweis,Waldmann-Immobilien Roedernstr. 9 12623 Berlin,"10963 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Geräumige 2-Zimmer Altbauwohnung im grünen Berlin-Baumschulenweg!,https://www.immobilienscout24.de/expose/115398150,"481,30 €",110 €,50 €,"641,30 €",Drei Nettokaltmieten,Etagenwohnung,2 von 3,65 m²,sofort,2,1,True,,,1904,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Schraderstr. 1, 12437 Berlin, Baumschulenweg (Treptow)"
High-quality furnished apartment near Charlottenburg Palace // co-living,https://www.immobilienscout24.de/expose/115398198,790 €,50 €,in Nebenkosten enthalten,840 €,EUR 1680.00,Etagenwohnung,3,12 m²,19.02.2020,1,,,,,,Zentralheizung,,,,homefully GmbH,"Tauroggener Straße 35b, 10589 Berlin, Charlottenburg (Charlottenburg)"
"Wohnen im hippen Prenzlauer Berg, nahe Volkspark Friedrichshain!",https://www.immobilienscout24.de/expose/115401153,"522,15 €",100 €,70 €,"692,15 €",3 Nettokaltmieten,Etagenwohnung,4,"55,92 m²",sofort,2,1,,,,1900,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Bötzowstr. 55, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
+++große 3 Zimmer-Dachgeschosswohnung mitten im Szeneviertel+++,https://www.immobilienscout24.de/expose/115402815,"1.946,88 €",265 €,nicht in Nebenkosten enthalten,"2.211,88 € (zzgl. Heizkosten)","5840,64",Dachgeschoss,5 von 5,"108,17 m²",sofort,3,1,True,True,,1905,Fußbodenheizung,Gas,liegt zur Besichtigung vor,,NGS Next Generation Service GmbH Hefnersteig 3 13629 Berlin,"Bevernstr. 4, 10997 Berlin, Kreuzberg (Kreuzberg)"
Schöne 3-Zimmerwohnung in Charlottenburg !,https://www.immobilienscout24.de/expose/115403490,1.049 €,130 €,80 €,1.259 €,3 Nettokaltmieten,Etagenwohnung,4,"108,4 m²",Sofort,3,2,True,,,1892,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Guerickestr. 36, 10587 Berlin, Charlottenburg (Charlottenburg)"
"Moderne 2,5-Zimmer-Wohnung im sonnigen Dachgeschoss mit Balkon sucht neue Mieter!",https://www.immobilienscout24.de/expose/115403511,699 €,65 €,45 €,809 €,3 Nettokaltmieten,Dachgeschoss,5 von 5,59 m²,Sofort,"2,5",1,True,,,1892,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Guerickestr. 36, 10587 Berlin, Charlottenburg (Charlottenburg)"
Möblierte Wohnung am Carl-Herz-Ufer in Kreuzberg,https://www.immobilienscout24.de/expose/115404163,1.800 €,keine Angabe,nicht in Nebenkosten enthalten,1.800 € (zzgl. Nebenkosten & Heizkosten),5000,Etagenwohnung,3 von 5,68 m²,04/2020,2,1,True,True,,1920,Zentralheizung,Gas,liegt vor,Bedarfsausweis,BLP Investment GmbH Reichsstrasse 12 14052 Berlin,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Helle und freundliche 2-Zimmer-Wohnung mit Balkon am Schloss Charlottenburg!,https://www.immobilienscout24.de/expose/115408286,"368,85 €",100 €,50 €,"518,85 €",3x Nettokaltmiete,Etagenwohnung,2 von 4,55 m²,Sofort,2,1,True,,,1958,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Ernst-Bumm-Weg 4b, 14059 Berlin, Charlottenburg (Charlottenburg)"
Großzügige und helle 3-Zimmer-Altbauwohnung mit Balkon am Koeltzepark in Spandau!,https://www.immobilienscout24.de/expose/115408668,"842,93 €",160 €,100 €,"1.102,93 €",3 Nettokaltmieten,Etagenwohnung,3 von 4,102 m²,sofort,3,1,True,,,1900,Zentralheizung,Gas,liegt vor,Bedarfsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Schönwalder Straße 15, 13585 Berlin, Spandau (Spandau)"
Großzügige 2-Zimmer-Altbauwohnung im sonnigen Dachgeschoss mit Balkon am Koeltzepark!,https://www.immobilienscout24.de/expose/115408802,"665,03 €",130 €,80 €,"875,03 €",3 Nettokaltmieten,Dachgeschoss,4 von 4,83 m²,sofort,2,1,True,,,1900,Zentralheizung,Gas,liegt vor,Bedarfsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Schönwalder Straße 15, 13585 Berlin, Spandau (Spandau)"
Schön Wohnen in Tempelhof!,https://www.immobilienscout24.de/expose/115507440,"351,46 €",125 €,45 €,"521,46 €",3 x Nettokaltmiete,Etagenwohnung,4,53 m²,sofort,"1,5",1,True,True,,1972,Fernwärme,Öl,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Burgemeisterstr. 11, 12103 Berlin, Tempelhof (Tempelhof)"
"Neubau nähe Potsdamer Platz, Dusch- und sep. Wannenbad, Parkett, EBK, Balkon, Fußbodenhzg., Aufzug",https://www.immobilienscout24.de/expose/115504688,1.562 €,157 €,98 €,1.817 €,"4.686,00 €",Etagenwohnung,1,"97,62 m²",01.03.2020,3,1,True,True,,2019,Zentralheizung,Gas,liegt vor,Bedarfsausweis,Wohnbau GmbH,"Stresemannstraße 63, 10963 Berlin, Kreuzberg (Kreuzberg)"
Tolles Wohnen an der köllnischen Heide!,https://www.immobilienscout24.de/expose/115397300,559 €,150 €,60 €,769 €,Drei Nettokaltmieten,Etagenwohnung,2,59 m²,sofort,2,1,True,True,,1973,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Dieselstr. 13, 12057 Berlin, Neukölln (Neukölln)"
Erstbezug: barrierefrei mieten im Parkquartier,https://www.immobilienscout24.de/expose/115508979,1.100 €,250 €,keine Angabe,1.350 € (zzgl. Heizkosten),3 NKM,Etagenwohnung,1,82 m²,,3,1,True,,,2019,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,Engel & Völkers Frohnau-Köpenick GmbH Bahnhofstraße 52 12305 Berlin,"12524 Berlin-Altglienicke, Altglienicke (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Modern ausgestattete 2-Zimmer-Wohnung mit EBK und Balkon,https://www.immobilienscout24.de/expose/115509134,695 €,165 €,in Nebenkosten enthalten,860 €,2085,Etagenwohnung,2 von 6,"57,43 m²",01.03.2020,2,1,True,True,,2019,Fußbodenheizung,,,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Wartenberger Straße 42 C, 13053 Berlin, Neu-Hohenschönhausen (Hohenschönhausen)"
"*NEU* 3-Zimmerwohnung in Wedding/ Nahe U-Bhf. Osloer Straße (U8, U9)",https://www.immobilienscout24.de/expose/115187427,1.077 €,135 €,69 €,1.281 €,3 Nettokaltmieten,Etagenwohnung,5 von 5,"86,18 m²",sofort,3,1,,,,unbekannt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"Soldiner Str. 35, 13359 Berlin, Wedding (Wedding)"
*NEU* WG-geeignete 3-Zimmerwohnung mit 2 Balkonen und Einbauküche am Schloss Charlottenburg,https://www.immobilienscout24.de/expose/115188044,1.811 €,260 €,158 €,2.229 €,3 Nettokaltmieten,Etagenwohnung,4 von 5,142 m²,sofort,3,1,True,True,,1906,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,4 RENT & SALE - Real Estate e.K. Pappelallee 78/79 10437 Berlin,"Otto-Suhr-Allee 145, 10585 Berlin, Charlottenburg (Charlottenburg)"
